Unnamed: 0,titleabstract,decision,prediction
3295,"High pathological response rate in locally advanced esophageal cancer after neoadjuvant combined modality therapy: Dose finding of a weekly chemotherapy schedule with protracted venous infusion of 5-fluorouracil and dose escalation of cisplatin, docetaxel and concurrent radiotherapy. Background: This phase I study was aimed at defining the toxicity profile and pathological response rate of a neoadjuvant schedule including weekly docetaxel and cisplatin, protracted venous infusion (PVI) of 5-FU and concomitant radiotherapy (RT) in locally advanced esophageal cancer. Patients and Methods: The schedule consisted of a first phase of chemotherapy alone and a second phase of concurrent chemoradiation. Initial doses were: docetaxel and cisplatin 20 mg/m2 on days 1, 8, 15, 29, 36 and 43 plus 5-FU 150 mg/m2 PVI on days 1-21 and 29-49; RT (40 Gy) started on day 29. In the following steps the doses were escalated up to docetaxel 35 mg/m2 and cisplatin 25 mg/m2 on days 1, 8, 15, 29, 36, 43, 50 and 57 plus 5-FU 180 mg/m2 PVI on days 1-21 and 150 mg/m2 PVI on days 29-63 concurrently with RT 50 Gy. Result(s): Forty-seven patients were enrolled and 46 completed the planned treatment. During the concomitant phase, grade 3-4 hematological toxicities occurred in three patients (6.5%) (or 3/174 cycles) and non-hematological toxicities in six patients (13%) (or 7/179 cycles). A pathological downstaging was obtained in 59.6% of the cases (28/47): complete remission (pCR) in 14 patients, near pCR (residual microfoci on the primary pN0) in eight patients, pT2 pN0 in three patients and partial response on the primary with positive lymph nodes in three patients. Six (13%) and 13 (28%) patients were considered stable and non-responders, respectively. In the last dose level, eight pCR and four near-pCR were obtained out of 15 patients. The maximum tolerable dose was not formally defined because dose escalation was stopped at the last dose level. Conclusion(s): This schedule represents a feasible treatment and the high pathological response rate is extremely encouraging; the doses found in the last dose-level are the basis for an ongoing phase II study at our institution. © 2005 European Society for Medical Oncology.",Excluded,0.2726923
3296,"The impact of radiotherapy dose and other treatment-related and clinical factors on in-field control in stage I and II non-Hodgkin's lymphoma. Purpose/Objective: To assess local (in-field) disease control, identify potential prognostic factors, and elucidate the optimal radiotherapy dose in various clinical settings of Stage I and II nonHodgkin's lymphoma (non-CNS). Material(s) and Method(s): A total of 285 consecutive patients with Stage I and II non-Hodgkin's lymphoma were treated with curative intent, including 159 with radiotherapy (RT) alone and 126 with combined-modality therapy (CMT). Of these, 72 patients had low-grade lymphomas (LGL), 92 had intermediate or high-grade lymphomas (I/HGL), and 21 had unclassified lymphomas. Clinical and treatment variables with potential prognostic significance for in-field disease control, freedom from relapse (FFR), and absolute survival (AS) were evaluated by univariate and multivariate analyses. Result(s): The 5-, 10-, and 20-year actuarial AS rates were 73%, 46%, and 33% for patients with LGL and 64%, 44%, and 18% for patients with I/HGL, respectively. The 5-, 10-, and 20- year actuarial FFR rates were 62%, 59%, and 49% for patients with LGL and 66%, 57%, and 57% for patients with I/HGL, respectively. Significant prognostic factors identified by the multivariate analysis were age, tumor size, and histology for AS; tumor size and treatment for FFR; and only tumor size for in-field disease control. There were 95 total failures, with only 12 occurring infield. Most failures (65%) were in contiguous unirradiated sites. All 4 in-field failures in patients with LGL occurred after RT doses < 30 Gy, although none occurred in 10 patients with small-volume LGL of the orbit treated with doses < 30 Gy. The 8 in-field failures in patients with I/HGL were distributed evenly throughout the RT dose range; 5 occurred in patients treated with CMT, all with tumors > 6 cm, and 4 with less than a complete response (CR) to chemotherapy. Conclusion(s): Our analysis suggests that the overwhelming problem in the treatment of non-Hodgkin's lymphoma is not in- field failure but, rather, failure in contiguous unirradiated sites. A dose of 20-25 Gy may be sufficient for small-volume LGL of the orbit. A dose of 30 Gy is sufficient for LGL in general, as well as for patients with nonbulky (<= 6 cm) I/HGL treated with CMT who have a CR. However, patients with I/HGL treated with CMT for tumors > 6 cm and/or without a CR may benefit from doses >= 40 Gy.",Excluded,0.4188829
3297,"Association of Glutathione S-Transferase P-1 (GSTP-1) rs1695 polymorphism with overall survival in glioblastoma patients treated with combined radio-chemotherapy. Glioblastoma (GBM) is the most frequent malignant primary brain tumor in adults and, despite recent advances, the prognosis for this cancer remains dismal. The aims of this study were to test the influence of XRCC1 rs25487, XRCC3 rs861539, XRCC3 rs1799794, RAD51 rs1801320 and GSTP-1 rs1695 single nucleotide polymorphisms on progression free survival (PFS) and overall survival (OS) in GBM patients treated with radiotherapy (RT) and temozolomide (TMZ). Fifty GBM patients treated with upfront radio-chemotherapy (RT 60 Gy/30 sessions; TMZ 75 mg/m2 during RT and 200 mg/m2 days 1 -> 5 every 28 days) were enrolled. Survival curves were calculated using the Kaplan-Meier method, and the log-rank test was used to evaluate differences between curves. A trend to a statistically significant association with PFS in univariate and multivariate COX regression analysis was found with GSTP-1 rs1695 polymorphism (p = 0.087 and p = 0.097 on univariate and multivariate analyses, respectively). Conversely, the same GSTP-1 rs1695 SNP revealed a statistically significant association with OS (p = 0.007 and p = 0.042 on univariate and multivariate analysis, respectively). Our pharmacogenetic prospective study suggests that GSTP-1 rs1695 genotypes can be associated with different OS in GBM patients treated with RT and TMZ.Copyright © 2017, Springer Science+Business Media, LLC.",Excluded,0.3434004
3298,"Feasibility of an adaptive strategy in preoperative radiochemotherapy for rectal cancer with image-guided tomotherapy: Boosting the dose to the shrinking tumor. Purpose: To investigate the feasibility of preoperative adaptive radiochemotherapy by delivering a concomitant boost to the residual tumor during the last 6 fractions of treatment. Methods and Materials: Twenty-five patients with T3/T4N0 or N+ rectal cancer were enrolled. Concomitant chemotherapy consisted of oxaliplatin 100 mg/m2 on days -14, 0, and +14, and 5-fluorouracil 200 mg/m2/d from day -14 to the end of radiation therapy (day 0 is the start of radiation therapy). Radiation therapy consisted of 41.4 Gy in 18 fractions (2.3 Gy per fraction) with Tomotherapy to the tumor and regional lymph nodes (planning target volume, PTV) defined on simulation CT and MRI. After 9 fractions simulation CT and MRI were repeated for the planning of the adaptive phase: PTVadapt was generated by adding a 5-mm margin to the residual tumor. In the last 6 fractions a boost of 3.0 Gy per fraction (in total 45.6 Gy in 18 fractions) was delivered to PTVadapt while concomitantly delivering 2.3 Gy per fraction to PTV outside PTVadapt. Result(s): Three patients experienced grade 3 gastrointestinal toxicity; 2 of 3 showed toxicity before the adaptive phase. Full dose of radiation therapy, oxaliplatin, and 5-fluorouracil was delivered in 96%, 96%, and 88% of patients, respectively. Two patients with clinical complete response (cCR) refused surgery and were still cCR at 17 and 29 months. For the remaining 23 resected patients, 15 of 23 (65%) showed tumor regression grade 3 response, and 7 of 23 (30%) had pathologic complete response; 8 (35%) and 12 (52%) tumor regression grade 3 patients had <=5% and 10% residual viable cells, respectively. Conclusion(s): An adaptive boost strategy is feasible, with an acceptable grade 3 gastrointestinal toxicity rate and a very encouraging tumor response rate. The results suggest that there should still be room for further dose escalation of the residual tumor with the aim of increasing pathologic complete response and/or cCR rates. © 2013 Elsevier Inc.",Excluded,0.26913926
3299,"Evaluation of safety of porous surface electrodes for STS Retinal prosthesis. Purpose: We have reported that our originally developed retinal prostheses with suprachoroidal-transretinal stimulation (STS) effectively elicited phosphene with current less than 1.0 mA in patients with advanced retinitis pigmentosa (Fujikado, IOVS 2010). Now we have developed a novel porous stimulating electrode (porous electrode) for retinal prostheses for STS system (Terasawa, ARVO 2012). The porous electrode has a large surface area introducing porous surface of the platinum bulk electrode with a femtosecond laser irradiation. To verify their safety, we investigated the threshold current Methods: Ten eyes of 10 pigmented rabbits were used in this study. We created a scleral pocket at the posterior pole of the eye and implanted the stimulating electrode. The stimulating electrode comprised a single-channel porous electrode (diameter, 0.5 mm; height, 0.3 mm). The rabbits were divided into four groups and stimulated with electrical currents of different intensities: 1.0 mA (n = 2), 1.5 mA (n = 3), 2.0 mA (n = 3), and 3.0 mA (n = 2). Continuous biphasic pulses of 0.5 ms/phase were applied at a frequency of 20 Hz for 48 h under general anesthesia. Fundus photography, fluorescein angiography (FA), and optical coherence tomography (OCT) were performed before and after applying the electrical currents. After the experiment was concluded, the eyes were enucleated and the retinas were stained with hematoxylin and eosin, and examined by light microscopy. Result(s): In the 1.0 mA and 1.5 mA groups, changes were not observed on fundus photography, FA, OCT, or histological examination. Leakage of fluorescent dye was observed in one of three cases in the 2.0 mA group and in all cases in the 3.0 mA group. Probit analysis of the relationship between retinal pigment epithelium (RPE) damage and stimulus intensity suggested that 2.1 mA led to an RPE damage incidence rate of 50%. Conclusion(s): These results indicate that the threshold current to induce retinal damage is greater than the current to elicit phosphene in STS. Therefore, the porous electrodes are feasible as stimulating electrodes for STS retinal prostheses.",Excluded,0.27416575
3300,"A novel screw guiding method with a screw guide template system for posterior C-2 fixation: Clinical article. Object. Accurate insertion of C-2 cervical screws is imperative; however, the procedures for C-2 screw insertion are technically demanding and challenging, especially in cases of C-2 vertebral abnormality. The purpose of this study is to report the effectiveness of the tailor-made screw guide template (SGT) system for placement of C-2 screws, including in cases with abnormalities. Methods. Twenty-three patients who underwent posterior spinal fusion surgery with C-2 cervical screw insertion using the SGT system were included. The preoperative bone image on CT was analyzed using multiplanar imaging software. The trajectory and depth of the screws were designed based on these images, and transparent templates with screw guiding cylinders were created for each lamina. During the operation, after templates were engaged directly to the laminae, drilling, tapping, and screwing were performed through the templates. The authors placed 26 pedicle screws, 12 pars screws, 6 laminar screws, and 4 C1-2 transarticular screws using the SGT system. To assess the accuracy of the screw track under this system, the deviation of the screw axis from the preplanned trajectory was evaluated on postoperative CT and was classified as follows: Class 1 (accurate), a screw axis deviation less than 2 mm from the planned trajectory; Class 2 (inaccurate), 2 mm or more but less than 4 mm; and Class 3 (deviated), 4 mm or more. In addition, to assess the safety of the screw insertion, malpositioning of the screws was also evaluated using the following grading system: Grade 0 (containing), a screw is completely within the wall of the bone structure; Grade 1 (exposure), a screw perforates the wall of the bone structure but more than 50% of the screw diameter remains within the bone; Grade 2 (perforation), a screw perforates the bone structures and more than 50% of the screw diameter is outside the pedicle; and Grade 3 (penetration), a screw perforates completely outside the bone structure. Results. In total, 47 (97.9%) of 48 screws were classified into Class 1 and Grade 0, whereas 1 laminar screw was classified as Class 3 and Grade 2. Mean screw deviations were 0.36 mm in the axial plane (range 0.0-3.8 mm) and 0.30 mm in the sagittal plane (range 0.0-0.8 mm). Conclusions. This study demonstrates that the SGT system provided extremely accurate C-2 cervical screw insertion without configuration of reference points, high-dose radiation from intraoperative 3D navigation, or any registration or probing error evoked by changes in spinal alignment during surgery. A multistep screw placement technique and reliable screw guide cylinders were the key to accurate screw placement using the SGT system. ©AANS, 2014.",Excluded,0.27551803
3301,"Comparison of Whole Heart Computed Tomography Scanners for Image Quality Lower Radiation Dosing in Coronary Computed Tomography Angiography: The CONVERGE Registry. RATIONALE AND OBJECTIVES: Novel technology in coronary computed tomographic angiography allows assessment of coronary artery disease with high image quality (IQ). There are currently two wide detector ""whole heart"" coverage scanners available, which avoid misregistration artifacts. However, there are no data directly comparing IQ between the two scanners. The aim of the current study is to investigate if IQ is different between the most scanners of GE and Toshiba broad detector scanners., MATERIALS AND METHODS: Prospective, observational, multicenter international cohort study comparing 236 consecutive patients who underwent coronary computed tomographic angiography using whole-heart scanners; 126 patients on scanner S1 ( Aquilion ONE Vision, Toshiba), and 110 patients on scanner S2 (Revolution CT, GE Healthcare). Hounsfield units were measured using regions of interest in the descending aorta at 6 points (cranial slice, level of the visualized first, second, third, and fourth spines, and the caudal slice). We also compared the coverage length (z-axis) of the full width field of view between a single rotation of the two scanners., RESULTS: Evaluating mean CT attenuation values Hounsfield units through the scan range, are progressively reduced across the descending aorta in the S1 group, resulting in the larger difference of contrast brightness between the cranial and caudal slices compared to the S2 group (absolute difference: S2 13.0 +/- 4.4 vs S1 141.9 +/- 16.4, p < 0.0001; Percent difference: 19.3 +/- 2.1 vs -3.4 +/- 1.2, <0.0001). The standard deviation (SD) is similar at the cranial slice between the two scanners, however, the S1 group demonstrated higher SD-differential from cranial to caudal than S2 group. Median radiation exposure was significantly lower for the S2 scanner 1.50 +/- 0.75 mSv vs the S1 system 1.9 mSv (IQR 1.7-2.7 mSv) (p=0.01). Z-axis coverage was larger for the S2 scanner 152.5 mm (244 slices x 0.625 mm/slice) than 133 mm for S1 (266 slices x 0.5 mm/slice)., CONCLUSION: Although both ""volume"" scanners cover the whole heart z-axis with one beat, scans using the S1 scanner have a larger variability in attenuation values throughout the scan range, resulting in 20% increase in nonuniformity from cranial to caudal slice. Additionally, SD variation across the field of view, a metric of noise, is larger when using the S1 scanner vs the S2 scanner. These results indicate that the GE Revolution CT has more uniform contrast enhancement and more coverage, lower radiation and lower image noise compared to the Toshiba Aquilion ONE Vision system. Copyright © 2019 The Association of University Radiologists. Published by Elsevier Inc. All rights reserved.",Excluded,0.27499884
3302,"Role of Low-Dose Computerized Tomography in Lung Cancer Screening among Never-Smokers. INTRODUCTION: The incidence of lung cancer among never-smokers has been increasing rapidly. The U. S. National Lung Screening Trial and the NELSON trial showed that screening using low-dose computerized tomography (LDCT) effectively reduced lung cancer mortality among heavy smokers. However, its effectiveness in never-smokers has not been well investigated. This study investigated the role of LDCT in lung cancer screening among never-smokers., METHODS: The study was designed as a single-center, retrospective cohort study. We analyzed the data on patients who underwent LDCT screening between May 2003 and June 2016. Nodules detected by computerized tomography were classified according to the Lung Imaging Reporting and Data System criteria. The detection rate and lung cancer outcomes (type of cancer, staging of lung cancer, and mortality) according to smoking history were determined., RESULTS: Of the 28,807 enrolled patients, 12,176 were never-smokers; of these patients, 7744 (63.6%) were women and 1218 (10.0%) were found to have lung nodules. Overall, lung cancer was diagnosed in 55 never-smokers (0.45%). In contrast, lung cancer was diagnosed in 143 (0.86%) of the 16,631 ever-smokers. Of the never-smokers with lung cancer, 51 (92.7%) presented with stage I disease, and all patients had adenocarcinomas., CONCLUSIONS: In the never-smoker population, LDCT screening helped to detect a significant number of lung cancers. Most of these lung cancers were detected at a very early stage. The positive results of the National Lung Screening Trial in the United States and the NELSON trial may have established the value of LDCT screening for heavy smokers, but future research should consider the value of using LDCT screening in the never-smoker population. Copyright © 2018 International Association for the Study of Lung Cancer. Published by Elsevier Inc. All rights reserved.",Excluded,0.27790985
3303,"Increased adiponectin levels are associated with higher radiographic scores in the knee joint, but not in the hand joint. Several studies have evaluated the association between serum adiponectin levels and knee and hand osteoarthritis (OA); mixed results have been reported. We investigated the relationship between OA and serum adiponectin levels according to the radiographic features of knee and hand OA. A total of 2402 subjects was recruited from the Dong-gu Study. Baseline characteristics were collected via a questionnaire, and X-rays of knee and hand joints were scored using a semi-quantitative grading system. The relationship between serum adiponectin levels and radiographic severity was evaluated by linear and logistic regression analysis. Subjects in the higher serum adiponectin levels tertiles were older and had a lower body mass index (BMI) than those in the lower tertiles. Regarding knee joint scores, serum adiponectin levels was positively associated with the total (P<0.001), osteophyte (P=0.003), and joint space narrowing (JSN) scores (P<0.001) after adjustment for age, sex, BMI, smoking, alcohol consumption, education, and physical activity. In terms of hand joint scores, no association was found between serum adiponectin levels and the total, osteophyte, JSN, subchondral cyst, sclerosis, erosion, or malalignment score after the above-mentioned adjustments. Similarly, subjects with serum adiponectin levels above the median had higher total radiographic scores in the knee joints, but not in the hand joints, after adjustment. An increased serum adiponectin levels was associated with a higher radiographic score in the knee joint, but not in the hand joint, suggesting the involvement of different pathophysiologic mechanisms in the development of OA between those joints.",Excluded,0.3313587
3304,"Six week evaluation of the potential for topical desoximetasone 0.25% spray to induce photoallergic skin reaction. Purpose: Desoximetasone 0.25% topical spray is a novel formulation that has not been tested or approved for safety and efficacy. The primary objective was to determine the potential of desoximetasone 0.25 and 0.05% topical sprays, as well as a vehicle to induce photoallergic skin reaction after repeated topical application and irradiation to the skin using a controlled photopatch testing procedure. Material(s) and Method(s): 53 subjects completed the study, each with six application sites (two of each treatment), three of which were irradiated and three non-irradiated, for an induction period of three weeks and then challenge period at week 6. Result(s): Desoximetasone 0.25 and 0.05%, as well as vehicle showed no evidence of potential to induce photosensitization. There was statistically significantly greater irritation at the vehicle irradiated site in comparison to the irradiated treatment area of desoximetasone 0.25% (p =.005) and the irradiated treatment area of desoximetasone 0.05% (p =.008). Conclusion(s): Our results suggest that regular treatment with desoximetasone 0.25 and 0.05% spray, followed by UV light exposure does not induce photosensitization or photo-irritation. These findings increase confidence for the use of this topical spray in eczema or psoriasis patients who may also be receiving UV light therapy and may contribute to the clinical management of these patients.Copyright © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Excluded,0.28798717
