,titleabstract,decision
885,"3D Printed Personalized Guide Plate in the Femoral Head Core Decompression Objective. To investigate the feasibility of using 3D printed personalized guide plates in core decompression procedures for the treatment of osteonecrosis of the femoral head (ONFH). Methods. The clinical data of 8 patients undergoing femoral head core decompression from January to December 2019 were analyzed retrospectively. Three-dimensional (3D) images of the patients were reconstructed from the CT scan data taken preoperatively. From the data obtained, puncture position, drill hole, and depth were evaluated, and individualized 3D puncture guide plates were designed using Mimics 21.0 software. During the operation, the needle went through the hole of the guide plate, the depth of the drill was controlled, and the obtained bone tissues were sent for pathological evaluation. Intraoperative X-ray and postoperative pathological results were used to evaluate the success of the puncture. Results. The individualized guide plates used for core compression on the 8 patients were well fitted with the anatomic structure of the puncture site, and the direction and depth of the needle insertion were consistent with the preoperative design. The operation time was about 15-22 mins. The position of the decompression tunnel was the same as the designed plate. The postoperative pathology showed necrotic bone tissue. There were no postoperative complications such as infection, bleeding, and fracture. Conclusion. The 3D printed individualized guide plate can simplify core decompression and would make this procedure more accurate, safe, and quick, in addition to obtaining necrotic tissues for pathological examination.Copyright © 2020 Liangliang Cheng et al.",Excluded
1722,"Salvage high-dose-rate interstitial brachytherapy for locally recurrent rectal cancer: Long-term follow-up results Background: We retrospectively examined outcomes of salvage high-dose-rate interstitial brachytherapy (HDR-ISBT) for locally recurrent rectal cancer (LRRC). Method(s): Nine patients with LRRC were treated with salvage HDR-ISBT. Their median age was 63 years. The median maximum diameter of LRRC was 40 mm (range 20-80 mm). Adenocarcinomas were histologically confirmed in all cases. The prescribed dose was 30 Gy/5 fractions/3 days to 50 Gy/10 fractions/6 days in the combined external-beam radiotherapy group (four patients) and 54 Gy/9 fractions/5 days to 60 Gy/10 fractions/6 days in the monotherapeutic group (five patients). Median follow-up time was 90 months (range 6-221 months). Result(s): Local control at final follow-up was achieved in five of nine patients. Of these five patients, one experienced a locally re-recurrent tumor in the vaginal wall 33 months after treatment and received re-HDR-ISBT as re-salvage treatment. The 8-year overall survival, local control, and progression-free survival rates were 56, 44, and 33 %, respectively. Based on the Common Terminology Criteria for Adverse Events ver. 4.03, the following Grade 3 adverse events were observed in three patients (>=3 months): Grade 3 skin ulceration in one patient who showed tumor invasion of the skin and whose V100 was 400 cc; Grade 3 vaginal perforation in one patient whose tumor had invaded the vaginal wall; and Grade 3 vagina-to-bladder fistula in one patient whose tumor received re-irradiation. Late adverse events above Grade 3 were not observed. Conclusion(s): Long-term follow-up results revealed that salvage HDR-ISBT is a promising treatment for LRRC with tolerable toxicity. © 2013 Japan Society of Clinical Oncology.",Excluded
2469,"Predictive value of secondary signs of obstruction in follow-up computed tomography of ureteral stones: a study with dynamic computed tomography OBJECTIVES: This study aimed to determine the ratio of obstruction and predictive values of secondary signs in follow-up computed tomography (CT) of ureterolithiasis patients; to correlate stone characteristics with obstruction; to compare enhancement of obstructed and non-obstructed kidneys; and to compare radiation dose of the dynamic CT protocol to an excretory-phase protocol., MATERIALS AND METHODS: This retrospective study assessed 49 follow-up CT scans of patients with remaining ureterolithiasis after a renal colic episode. Obstruction was measured as time taken to excretion of contrast medium in dynamic CT. Degree of secondary signs of obstruction was evaluated from the unenhanced CT. Data were collected on patients' gender and age, stone size and location, time from renal colic to follow-up, attenuation of the renal cortex and radiation dose., RESULTS: Obstruction was present in 28% (n = 14) at follow-up. Predictive values (sensitivity, specificity, positive predictive value, negative predictive value) were calculated for hydronephrosis (1.0, 0.63, 0.52, 1.0), hydroureter (1.0, 0.4, 0.4, 1.0), perirenal stranding (0.21, 0.94, 0.6, 0.75), Gerota's fascia (0.21, 0.97, 0.75, 0.76) and renal swelling (0.21, 0.97, 0.75, 0.76). Obstruction was not correlated with stone characteristics. Enhancement was lower in obstructed kidneys (p < 0.01). Radiation dose was reduced by 43% (1.8 mSv)., CONCLUSIONS: Obstruction was found in 28% of patients. Secondary signs were scarce and of indeterminate value to the diagnosis of obstruction. The absence of hydronephrosis and hydroureter contradicted obstruction. Stone characteristics were not correlated with obstruction. Enhancement of the renal cortex was lower in obstructed kidneys. The dynamic protocol reduced the radiation dose.",Excluded
303,"Multidisciplinary team approach for Merkel cell carcinoma: the European Institute of Oncology experience with focus on radiotherapy Objective: To review the therapeutic strategy in Merkel cell carcinoma (MCC) treated with radiotherapy (RT) discussed in a multidisciplinary tumour board. Method(s): Clinical records of patients with a diagnosis of MCC and with an indication to undergo RT at the European Institute of Oncology between 2003 and 2018 were reviewed retrospectively. Result(s): Twenty-six patients were included in the analysis (median age 65 years, range 42-87). Nineteen received adjuvant RT, 4 exclusive RT, and the remainder palliative RT. Intensity-modulated RT was used in 13 cases, a 3D conformal technique in 11 cases, and stereotactic RT in 2 cases. No major toxicities were recorded. The median relapse-free survival (RFS) after adjuvant RT was 20.5 months, while for unknown primary MCC, it was 23 months. In the adjuvant setting, median polyomavirus-positive RFS was 21.5 months (range 1-49) and median polyomavirus-negative RFS was only 14 months (range 4-45). Overall, RFS of polyomavirus-positive and polyomavirus-negative patients was 10.5 and 8 months, respectively. After adjuvant RT, only 1 out of 10 patients had a recurrence in the RT field. At the time of data collection, 16 patients were alive with no evidence of disease, 1 patient was alive with advanced status of disease, 8 patients died of disease progression, and 1 patient died of other causes. Conclusion(s): The management of unknown primary and polyomavirus-positive cases, which had a better prognosis in our series, may benefit from a multidisciplinary approach, given the limited data available regarding optimal treatment.Copyright © Fondazione IRCCS Istituto Nazionale dei Tumori 2020.",Excluded
711,"Detectability of radiation-induced changes in magnetic resonance biomarkers following stereotactic radiosurgery: A pilot study Our objective was to investigate direct voxel-wise relationship between dose and early MR biomarker changes both within and in the high-dose region surrounding brain metastases following stereotactic radiosurgery (SRS). Specifically, we examined the apparent diffusion coefficient (ADC) from diffusion-weighted imaging and the contrast transfer coefficient (Ktrans) and volume of extracellular extravascular space (ve) derived from dynamic contrast-enhanced (DCE) MRI data. We investigated 29 brain metastases in 18 patients using 3 T MRI to collect imaging data at day 0, day 3 and day 20 following SRS. The ADC maps were generated by the scanner and Ktrans and ve maps were generated using in-house software for dynamic tracer-kinetic analysis. To enable spatially-correlated voxel-wise analysis, we developed a registration pipeline to register all ADC, Ktrans and ve maps to the planning MRI scan. To interrogate longitudinal changes, we computed absolute DELTAADC, DELTAKtrans and DELTAve for day 3 and 20 post-SRS relative to day 0. We performed a Kruskall-Wallice test on each biomarker between time points and investigated dose correlations within the gross tumour volume (GTV) and surrounding high dose region > 12 Gy via Spearman's rho. Only ve exhibited significant differences between day 0 and 20 (p < 0.005) and day 3 and 20 (p < 0.05) within the GTV following SRS. Strongest dose correlations were observed for ADC within the GTV (rho = 0.17 to 0.20) and weak correlations were observed for ADC and Ktrans in the surrounding > 12 Gy region. Both DELTAKtrans and DELTAve showed a trend with dose at day 20 within the GTV and > 12 Gy region (rho = -0.04 to -0.16). Weak dose-related decreases in Ktrans and ve within the GTV and high dose region at day 20 most likely reflect underlying vascular responses to radiation. Our study also provides a voxel-wise analysis schema for future MR biomarker studies with the goal of elucidating surrogates for radionecrosis.",Excluded
87,"The QUANTEC criteria for parotid gland dose and their efficacy to prevent moderate to severe patient-rated xerostomia Background. Recently, the Quantitative Analysis of Normal Tissue Effect in the Clinic (QUANTEC) Group defined dose-volume constraints for the parotid glands to avoid severe xerostomia. The aim of this study was to determine if application of these QUANTEC criteria also protected against moderate-to-severe patient-rated xerostomia. Material and methods. The study population consisted of 307 head and neck cancer patients treated with primary (chemo)radiotherapy, either with 3D-CRT (56%) or with IMRT (44%). All patients participated in a standard follow-up program in which radiation-induced toxicity and quality of life were prospectively assessed. Patients who met the QUANTEC criteria were classified as low risk and otherwise as high risk. Results. In total, 41% of the patients (treated with 3D-CRT and IMRT) were classified as low risk patients. In the group treated with 3D-CRT and IMRT, it was possible to meet the QUANTEC criteria in 47% and 32% of the patients, respectively. Sparing the parotid glands with IMRT was considerably more difficult in patients with lymph node metastases and in patients with nasopharyngeal and oropharyngeal tumours. Low risk patients reported significantly less moderate-to-severe xerostomia than high risk patients. However, the predicted risk of elderly patients and patients with pre-existing minor patient-rated xerostomia at baseline was > 20%, even when the QUANTEC criteria were met. Conclusions. Significantly lower rates of radiation-induced patient-rated xerostomia were found among low risk patients treated according to the QUANTEC criteria, but these criteria do not completely protect against xerostomia. Particularly in elderly patients and patients already suffering from minor xerostomia at baseline, the QUANTEC criteria do not sufficiently protect against persistent, moderate-to-severe patient-rated xerostomia. © 2014 Informa Healthcare.",Excluded
195,"A system for in vivo measurement of bone calcium by local neutron activation of the hand A 252Cf neutron-irradiation facility designed specifically for clinical in vivo measurement of calcium in the hand is described. Results of preliminary measurements are presented. Hand phantoms were exposed to the neutron beam for 10 min and the induced 49Ca activities were counted for 10 min after an elapsed time of 2 min. The results indicate that with a 2 X 100 micrograms 252Cf neutron source and two 20.3 X 12.7 cm NaI crystals, the counts per gram of bone mineral mass changes by about 4% for each 100 cm3 change in the overall volume (soft tissue plus bone) of the hand. For hands of equal volumes the counts per gram are expected to be almost independent of the bone volume. With an absorbed dose equivalent of 150 mSv (15 rem), the sensitivity is about 200 counts per 10 min per gram Ca. The statistical reproducibility of the results is better than 3% for the average value of 11 g Ca in the normal hand.",Excluded
0,Efficacy of radiation therapy for the treatment of macroscopic canine oral soft tissue sarcoma This retrospective study evaluated the efficacy of radiotherapy used alone in macroscopic oral soft tissue sarcoma. Thirty-one dogs qualified for the study. Twenty dogs received curative radiotherapy (median total dose: 52.5 Gy) and eleven dogs were treated palliatively (3 x 8 Gy or 5 x 6 Gy). The time-to-progression for the curatively-treated dogs was 333 days versus 180 days for the palliatively-treated dogs (p=0.134). The overall survival was 331 days for the curative group and 310 days for the palliative group (p=0.2292). The results of this study suggest that radiation therapy is useful in the treatment of oral soft tissue sarcoma.,Excluded
1005,"Salvage radiotherapy in patients with recurrent or refractory primary or secondary central nervous system lymphoma after chemotherapy From October 2007 to June 2013, 13 patients (7 men, 6 women: median age, 58 years) treated with salvage radiation therapy (RT) for recurrent/refractory primary or secondary central nervous system lymphoma (CNSL) after chemotherapy at our institution were retrospectively reviewed. The histological analysis showed diffuse large B-cell lymphoma and intravascular large B-cell lymphoma in 12 and 1 patient, respectively. After initial chemotherapy, 1 patient showed initial complete response, 8 showed partial response and 4 showed progressive disease. Eleven patients had primary CNSL and 2 had secondary CNSL. The median total radiation dose was 40 Gy (range, 30-60 Gy). The median overall survival time from start of salvage RT was 16.3 months. The 1-year overall survival rate was 64%. Univariate analysis could not help to identify the factor for worse prognosis. Salvage RT is effective for patients with recurrent/refractory primary or secondary CNSL after chemotherapy.",Excluded
1204,"The role of adjuvant radiotherapy in the local management of desmoplastic melanoma BACKGROUND In the current study, the authors sought to evaluate outcomes, specifically with respect to adjuvant radiotherapy (RT), for patients with desmoplastic melanoma. METHODS The records of 130 consecutive patients who presented between 1985 and 2009 with nonmetastatic desmoplastic melanoma and were treated curatively with either surgery alone (59 patients; 45%) or surgery and postoperative RT (71 patients; 55%) were retrospectively reviewed. Ages ranged from 21 years to 97 years (median age, 66 years). The location of the primary tumor was in the head and neck region in 62% of patients. Only 5 patients (4%) had lymph node involvement at the time of presentation. RESULTS The median follow-up was 6.6 years (range, 11 months-24 years). Overall survival rates at 5 years and 10 years were 69% and 53%, respectively. Disease-specific survival rates were 84% and 80%, respectively, at 5 years and 10 years. The actuarial rate of local recurrence was 17% at 5 years and beyond. Of the patients who underwent surgery without receiving postoperative RT, 14 (24%) experienced local recurrence. Of the 71 patients treated with surgery and postoperative RT, 5 (7%) experienced local recurrence. In a Cox multivariate regression model, improved local control was significantly associated with the receipt of postoperative RT (P = .009). CONCLUSIONS Surgery followed by postoperative RT appears to provide superior local control compared with surgery alone for patients with desmoplastic melanoma. Cancer 2014;120:1361-1368. © 2013 American Cancer Society. The authors performed a retrospective review of 130 consecutive patients presenting for definitive treatment of nonmetastatic desmoplastic melanoma. It was observed that patients treated with surgery followed by postoperative radiotherapy had superior local control compared with patients treated with surgery alone. © 2013 American Cancer Society.",Included
