,titleabstract,decision
1,"[The effect of a superhigh dose of ionizing radiation on the content of catecholamine mediators in different areas of the rat brain]. In experiments with rats, it was shown that whole-body irradiation of animals with a dose of 500 Gy causes a decrease in the catecholamine mediator content of the truncus cerebri during the first minutes following irradiation. A possible mechanism of the changes observed is discussed.",Included
9,"Urethral pain among prostate cancer survivors 1 to 14 years after radiation therapy. PURPOSE: To investigate how treatment-related and non-treatment-related factors impact urethral pain among long-term prostate cancer survivors.METHODS AND MATERIALS: Men treated for prostate cancer with radiation therapy at the Sahlgrenska University Hospital in Goteborg, Sweden from 1993 to 2006 were approached with a study-specific postal questionnaire addressing symptoms after treatment, including urethral burning pain during urination (n=985). The men had received primary or salvage external-beam radiation therapy (EBRT) or EBRT in combination with brachytherapy (BT). Prescribed doses were commonly 70 Gy in 2.0-Gy fractions for primary and salvage EBRT and 50 Gy plus 2x10.0 Gy for EBRT+BT. Prostatic urethral doses were assessed from treatment records. We also recruited 350 non-pelvic-irradiated, population-based controls matched for age and residency to provide symptom background rates.RESULTS: Of the treated men, 16% (137 of 863) reported urethral pain, compared with 11% (27 of 242) of the controls. The median time to follow-up was 5.2 years (range, 1.1-14.3 years). Prostatic urethral doses were similar to prescription doses for EBRT and 100% to 115% for BT. Fractionation-corrected dose and time to follow-up affected the occurrence of the symptom. For a follow-up>=3 years, 19% of men (52 of 268) within the 70-Gy EBRT+BT group reported pain, compared with 10% of men (23 of 222) treated with 70 Gy primary EBRT (prevalence ratio 1.9; 95% confidence interval 1.2-3.0). Of the men treated with salvage EBRT, 10% (20 of 197) reported urethral pain.CONCLUSIONS: Survivors treated with EBRT+BT had a higher risk for urethral pain compared with those treated with EBRT. The symptom prevalence decreased with longer time to follow-up. We found a relationship between fractionation-corrected urethral dose and pain. Among long-term prostate cancer survivors, the occurrence of pain was not increased above the background rate for prostatic urethral doses up to 70 Gy3.",Included
10,Prolactin- and other hormone-producing pituitary tumors: radiation therapy,Included
20,"Inhibition of radiation-induced DNA damage by jamun, Syzygium cumini, in the cultured splenocytes of mice exposed to different doses of gamma-radiation. The radioprotective property of 50 mg/kg body weight jamun (Syzygium cumini) extract was studied in the cultured splenocytes of mice exposed to 0, 0.5, 1, 2, 3, or 4 Gy of gamma-radiation. The spleens of irradiated mice were removed aseptically and the splenocytes were extracted from the individual spleens and cultured. The micronuclei were prepared 72 hours after irradiation in binucleate splenocytes by blocking cytokinesis with cytochalasin-B. Irradiation of mice resulted in a dose-dependent elevation in the micronucleated splenocytes. The exposure of mice not only elevated splenocytes bearing one micronucleus but also cells bearing 2 and multiple (>2) micronuclei indicating induction of complex DNA damage after irradiation. Oral treatment of mice with 50 mg/kg body weight of jamun leaf extract protected against the radiation-induced micronuclei formation. Jamun extract also protected against the formation of 2 and multiple micronuclei indicating repair or inhibition of complex DNA damage. The assessment of lipid peroxidation in mice brain homogenate has indicated a concentration dependent inhibition of lipid peroxidation by jamun extract. Studies in a cell free system revealed that jamun extract inhibited the formation of OH, O(2)-, DPPH, and ABTS(+) free radicals in a concentration dependent manner. Our study demonstrates that jamun extract protected mice against the radiation-induced DNA damage and inhibition of radiation-induced free radical formation may be one of the mechanisms of radioprotection.",Included
24,"Effects of spaceflight on ocular counterrolling and the spatial orientation of the vestibular system. We recorded the horizontal (yaw), vertical (pitch), and torsional (roll) eye movements of two rhesus monkeys with scleral search coils before and after the COSMOS Biosatellite 2229 Flight. The aim was to determine effects of adaptation to microgravity on the vestibulo-ocular reflex (VOR). The animals flew for 11 days. The first postflight tests were 22 h and 55 h after landing, and testing extended for 11 days after reentry. There were four significant effects of spaceflight on functions related to spatial orientation: (1) Compensatory ocular counterrolling (OCR) was reduced by about 70% for static and dynamic head tilts with regard to gravity. The reduction in OCR persisted in the two animals throughout postflight testing. (2) The gain of the torsional component of the angular VOR (roll VOR) was decreased by 15% and 50% in the two animals over the same period. (3) An up-down asymmetry of nystagmus, present in the two monkeys before flight was reduced after exposure to microgravity. (4) The spatial orientation of velocity storage was shifted in the one monkey that could be tested soon after flight. Before flight, the yaw axis eigenvector of optokinetic afternystagmus was close to gravity when the animal was upright or tilted. After flight, the yaw orientation vector was shifted toward the body yaw axis. By 7 days after recovery, it had reverted to a gravitational orientation. We postulate that spaceflight causes changes in the vestibular system which reflect adaptation of spatial orientation from a gravitational to a body frame of reference. These changes are likely to play a role in the postural, locomotor, and gaze instability demonstrated on reentry after spaceflight.",Included
29,"[Effect of ionizing radiation on the functional state of Helix pomatia neurons. Glucose metabolism and ATP levels]. The ATP level in nerve ganglia of Helix pomatia was shown to decrease 15 and 30 min, and 1 and 3 h following irradiation (5.16 C/kg). The decrease was maximum in 60 min. The absorption and utilization of glucose via a pentose-phosphate route and in the Krebs cycle did not substantially change. It is concluded that the energy supply of nerve cells under study is not responsible for the decrease in the ATP level.",Included
36,"Regulation of prostaglandin E<inf>2</inf> synthesis after brain irradiation. Purpose: A local tissue reaction, termed neuroinflammation, occurs after irradiation of brain tissue. Previous work suggested that cyclooxygenase (COX)-2 activity was important for changes in gene expression associated with neuroinflammation as well as increased prostaglandin E<inf>2</inf> (PGE <inf>2</inf>) levels seen after radiation treatment. Methods and Materials: To begin to determine the contributions of other enzymes involved in PGE <inf>2</inf> production, we examined protein levels of COX-1 and COX-2 as well as 2 PGE synthases (membrane and cytosolic PGES) 4 h after 35 Gy single dose irradiation to the brains of C3HeN mice. We also evaluated the effects of specific COX inhibitors on PGE<inf>2</inf> production and PGES expression. Result(s): As expected, COX-2 expression increased after radiation exposure. Brain irradiation also increased tissue protein levels for both PGES isoforms. Specific COX-2 inhibition with NS398 lowered brain PGE<inf>2</inf> levels by about 60%. Surprisingly, COX-1 inhibition with SC560 completely prevented the elevation of PGE<inf>2</inf> seen after irradiation. Interestingly, NS398 reduced the membrane-associated PGES isoform, whereas SC560 treatment lowered cytosolic isoform levels below those seen in unirradiated controls. Conclusion(s): Taken together, these data indicate that both cyclooxygenases contribute to PGE<inf>2</inf> production in irradiated brain and reveal dependence of PGES isoforms expression on specific cyclooxygenase activities. © 2005 Elsevier Inc.",Included
54,"Radiation arteritis: a contraindication to carotid stenting?. BACKGROUND: Carotid artery stenting (CAS) for high-risk anatomic lesions is accepted practice. Neck irradiation and radiotherapy-induced arteritis are common indications. The clinical outcomes of CAS for radiation arteritis have been poorly defined.METHODS: A prospective database of patients undergoing CAS at a tertiary referral academic medical center was maintained from 1999 to 2006. Patients undergoing primary carotid artery stenting for significant atherosclerotic (ASOD) and radiotherapy (XRT)-induced occlusive disease were analyzed. Life-table analyses were performed to assess time-dependent outcomes. Cox proportional hazard analysis or Fisher's exact test was performed to identify factors associated with outcomes. Data are presented as the mean +/- SEM unless otherwise indicated.RESULTS: During the study period, 150 patients underwent primary CAS, 75% with embolic protection. Fifty-eight percent were symptomatic. One hundred twenty-seven (85%) were treated for ASOD, and 23 (15%) had XRT. The 30-day all-cause mortality rate was 1% for ASOD and 0% for XRT (P = NS); overall survival at 3 years was equivalent. There was no significant difference in major adverse event rates as defined by the Stenting and Angioplasty with Protection in Patients at High Risk for Endarterectomy (SAPPHIRE) trial between the groups. The 3-year neurologic event-free rate was 85% for ASOD and 87% for XRT (P = NS). Late asymptomatic occlusions were seen only in XRT patients. The 3-year freedom from restenosis rate was significantly worse for the XRT group, at 20%, vs 74% for the ASOD group (P < .05). Likewise, the 3-year patency rate was also worse for the XRT group, at 91%, vs 100% for ASOD by Kaplan-Meier analysis (P < .05). No factor was predictive of occlusion or stenosis by Cox proportional hazards analysis.CONCLUSION: CAS for radiation arteritis has poor long-term anatomic outcome and can present with late asymptomatic occlusions. These findings suggest that these patients require closer postoperative surveillance and raise the question of whether CAS is appropriate for carotid occlusive lesions caused by radiation arteritis.",Included
55,"Utility of Prophylactic Cranial Irradiation for Limited Stage Small Cell Lung Cancer in the Modern Era with Magnetic Resonance Imaging Surveillance. Aims: To retrospectively analyse the impact of prophylactic cranial irradiation (PCI) on survival and intracranial progression in patients with limited stage small cell lung cancer (LS-SCLC) in the modern era of widespread magnetic resonance imaging brain screening. Material(s) and Method(s): Patients with LS-SCLC treated within our network between 2009 and 2020 who responded to initial therapy were stratified by receipt of PCI and stage of disease. A propensity score match analysis was carried out for stage II-III patients. Overall and neurological survival were defined as time to death and presumed death due to uncontrolled intracranial disease, respectively. Brain metastasis-free survival and symptomatic brain metastasis-free survival were defined as freedom from intracranial progression and symptomatic intracranial progression, respectively. The effect of PCI on these outcomes was assessed using Kaplan-Meier and Cox proportional hazards models. Result(s): In total, 243 (69.6%) of 349 patients received PCI. On multivariate analysis in the propensity matched stage II-III cohort, PCI was a significant predictor of improved neurological survival (hazard ratio 0.23, 95% confidence interval 0.08-0.65; P = 0.01), brain metastasis-free survival (hazard ratio 0.25, 95% confidence interval 0.12-0.51; P < 0.01) and symptomatic brain metastasis-free survival (hazard ratio 0.21, 95% confidence interval 0.08-0.55; P < 0.01), but not improved overall survival. Two-year neurological survival estimates within the propensity matched cohort were 96.8% (95% confidence interval 87.6-99.2%) with PCI and 77.2% (95% confidence interval 63.0-86.4%) without PCI and 1- and 2-year estimates of incidence of brain metastases were 3.9% (95% confidence interval 1.3-11.7%) and 11.7% (95% confidence interval 5.6-23.5%) in the PCI group and 31.6% (95% confidence interval 22.1-43.9%) and 40.4% (95% confidence interval 29.2-54.0%) in the no PCI group, respectively. Conclusion(s): In the modern era of magnetic resonance imaging screening, PCI was associated with reduced incidence of intracranial progression in patients with stage II-III LS-SCLC who respond to initial therapy. This, importantly, translated to a decreased risk of neurological death within our propensity matched cohort, without significant improvement in overall survival. Copyright © 2021 The Royal College of Radiologists",Included
78,"Elevated DNA damage in a mouse model of oxidative stress: impacts of ionizing radiation and a protective dietary supplement. Transgenic growth hormone (Tg) mice express elevated free radical processes and a progeroid syndrome of accelerated ageing. We examined bone marrow cells of Tg mice and their normal (Nr) siblings for three markers of DNA damage and assessed the impact of free radical stress using ionizing radiation. We also evaluated the radiation protection afforded by a dietary supplement that we previously demonstrated to extend longevity and reduce cognitive ageing of Nr and Tg mice. Spectral karyotyping revealed few spontaneous chromosomal aberrations in Nr or Tg. Tg mice, however, had significantly greater constitutive levels of both gammaH2AX and 8-hydroxy-deoxyguanosine (8-OHdG) compared to Nr. When exposed to a 2-Gy whole-body dose of ionizing radiation, both Nr and Tg mice showed significant increases in DNA damage. Compared to Nr mice, irradiated Tg mice had dramatically higher levels of gammaH2AX foci and double the levels of chromosomal aberrations. In unirradiated mice, the dietary supplement significantly reduced constitutive gammaH2AX and 8-OHdG in both Nr and Tg mice (normalizing both gammaH2AX and 8-OHdG in Tg), with little difference in gammaH2AX and 8-OHdG over constitutive levels. Induced chromosomal aberrations were also reduced, and in Nr mice, virtually absent. Remarkably, supplemented mice expressed 6-fold lower levels of radiation-induced chromosomal aberrations compared to unsupplemented Nr or Tg mice. Based on our data, the dietary supplement appeared to scavenge free radicals before they could cause damage. This study validates Tg mice as an exemplary model of oxidative stress and radiation hypersensitivity and documents unprecedented radioprotection by a dietary supplement comprised of ingredients available to the general public.",Included
