,decision,titleabstract
765,Excluded,"Cell type-specific hypersensitivity to oxidative damage in CSB and XPA mice Mutations in the CSB gene cause Cockayne syndrome (CS), a rare inherited disorder, characterized by UV-sensitivity, severe neurodevelopmental and progeroid symptoms. CSB functions in the transcription-coupled repair (TCR) sub-pathway of nucleotide excision repair (NER), responsible for the removal of UV-induced and other helix-distorting lesions from the transcribed strand of active genes. Several lines of evidence support the notion that the CSB TCR defect extends to other non-NER type transcription-blocking lesions, notably various kinds of oxidative damage, which may provide an explanation for part of the severe CS phenotype. We used genetically defined mouse models to examine the relationship between the CSB defect and sensitivity to oxidative damage in different cell types and at the level of the intact organism. The main conclusions are: (1) CSB(-/-) mouse embryo fibroblasts (MEFs) exhibit a clear hypersensitivity to ionizing radiation, extending the findings in genetically heterogeneous human CSB fibroblasts to another species. (2) CSB(-/-) MEFs are highly sensitive to paraquat, strongly indicating that the increased cytotoxicity is due to oxidative damage. (3) The hypersenstivity is independent of genetic background and directly related to the CSB defect and is not observed in totally NER-deficient XPA MEFs. (4) Wild type embryonic stem (ES) cells display an increased sensitivity to ionizing radiation compared to fibroblasts. Surprisingly, the CSB deficiency has only a very minor additional effect on ES cell sensitivity to oxidative damage and is comparable to that of an XPA defect, indicating cell type-specific differences in the contribution of TCR and NER to cellular survival. (5) Similar to ES cells, CSB and XPA mice both display a minor sensitivity to whole-body X-ray exposure. This suggests that the response of an intact organism to radiation is largely determined by the sensitivity of stem cells, rather than differentiated cells. These findings establish the role of transcription-coupled repair in resistance to oxidative damage and reveal a cell- and organ-specific impact of this repair pathway to the clinical phenotype of CS and XP."
2892,Excluded,"A review of the necessary planning target volume margins for patients receiving radiation to the brain, with the current immobilization devices in use at the hopital regional de sudbury regional hospital regional cancer program The purpose of this study is to examine the effectiveness of the current margins of the planning target volumes in brain patients being treated at the Sudbury Regional Cancer Program. The gross tumour volume (GTV) is defined in the International Commission for Radiation Units & Measurements (ICRU) report 83 (2010) as the gross demonstrable extent and location of the tumour. The clinical target volume (CTV) is defined as the volume of a tissue that contains the GTV and any microscopic tumour spread. The planning target volume (PTV) is defined by the ICRU 83 report (2010) as the margin accounting for both the internal and external uncertainties. With the use of image-guided radiation therapy such as cone beam computed tomography (CBCT), imaging and positioning has become much more accurate. A CBCT uses a 3D reconstructed volume of the patient's current position before treatment to verify and correct the setup. This is done by comparing it to the planning patient position as seen with the planning CT image and making any adjustments while the patient is on the bed (Pouliot, Bani-Hashemi, Chen, Svatos, Ghelmansarai, Mitschke, 2005). Daily imaging before treatment has allowed for positioning of the patient accurately to match the image taken for planning purposes. This allows the patient to be set up within millimetres of the position they were in for planning. Currently at the Sudbury Regional Cancer Program, daily imaging for patients receiving radiation to the brain is not standard practice, however, some patients are imaged daily by request from the physician. By using the shift data from patients who have received daily imaging, the setup uncertainty for every fraction can be determined and used to determine an appropriate PTV margin for the majority of patients, who are not imaged daily. If the PTV can be reduced for brain patients being treated, less of the normal brain tissue would be irradiated and could have the potential to reduce acute and late neurotoxicity of treatment (McDonald et al., 2011). A retrospective review of patients who have previously received radiation to the brain with daily CBCT imaging will be done to examine the shifts done before treatment to match the CBCT to the planning CT image. The patient population will include patients who received brain radiation and a daily CBCT before treatment since July 2010. The images taken daily before treatment will be retrospectively studied using the Sudbury Regional Cancer Program's electronic charting system (Mosaic). The shift data examined of patients who received daily imaging can be applied to a calculation proposed by van Herk (2004) to determine the PTV margin accounting for setup error. The shift data describes the measurements by which the patient was shifted after daily imaging to match the original planning image. This equation uses the shift data to determine the PTV margin for those patients who do not receive daily imaging. All patient data will be anonymous and will be kept on a locked password protected computer."
1531,Included,"Radiation-induced bystander effects in vivo are epigenetically regulated in a tissue-specific manner Exposure of animal body parts to ionizing radiation (IR) can lead to molecular changes in distant shielded ""bystander"" tissues and organs. Nevertheless, tissue specificity of bystander responses within the same organism has not been examined in detail. Studies on in vivo bystander effect conducted so far analyzed changes induced by single-dose exposure. The potential of fractionated irradiation to induce bystander effects in vivo has never been studied. We analyzed changes in global DNA methylation and microRNAome in skin and spleen of animals subjected to single-dose (acute or fractionated) whole-body or cranial exposure to 0.5 Gy of X-rays. We found that IR-induced DNA methylation changes in bystander spleen and skin were distinct. Acute radiation exposure resulted in a significant loss of global DNA methylation in the exposed and bystander spleen 6 hr, 96 hr, and 14 days after irradiation. Fractionated irradiation led to hypomethylation in bystander spleen 6 hr after whole-body exposure, and 6 hr, 96 hr, and 14 days after cranial irradiation. Contrarily, changes in the skin of the same animals were seen only 6 hr after acute whole-body and head exposure. DNA hypomethylation observed in spleen was paralleled by a reduction of methyl-binding protein MeCP2 expression. Irradiation also induced tissue-specific microRNAome alterations in skin and spleen. For the first time, we have shown that IR-induced epigenetic bystander effects that occur in the same organism are triggered by both acute and fractionated exposure and are very distinct in different bystander organs. Future studies are clearly needed to address organismal and carcinogenic repercussions of those changes."
2490,Excluded,"Electrical brain imaging reveals spatio-temporal dynamics of timbre perception in humans Timbre is a major attribute of sound perception and a key feature for the identification of sound quality. Here, we present event-related brain potentials (ERPs) obtained from sixteen healthy individuals while they discriminated complex instrumental tones (piano, trumpet, and violin) or simple sine wave tones that lack the principal features of timbre. Data analysis yielded enhanced N1 and P2 responses to instrumental tones relative to sine wave tones. Furthermore, we applied an electrical brain imaging approach using low-resolution electromagnetic tomography (LORETA) to estimate the neural sources of N1/P2 responses. Separate significance tests of instrumental vs. sine wave tones for N1 and P2 revealed distinct regions as principally governing timbre perception. In an initial stage (N1), timbre perception recruits left and right (peri-)auditory fields with an activity maximum over the right posterior Sylvian fissure (SF) and the posterior cingulate (PCC) territory. In the subsequent stage (P2), we uncovered enhanced activity in the vicinity of the entire cingulate gyrus. The involvement of extra-auditory areas in timbre perception may imply the presence of a highly associative processing level which might be generally related to musical sensations and integrates widespread medial areas of the human cortex. In summary, our results demonstrate spatio-temporally distinct stages in timbre perception which not only involve bilateral parts of the peri-auditory cortex but also medially situated regions of the human brain associated with emotional and auditory imagery functions. © 2006 Elsevier Inc. All rights reserved."
1131,Excluded,"Significant response of radiation induced CNS toxicity to high dose steroid administration Treatment of radiation myelopathy remains a challenge. Supportive and rehabilitative therapy is the mainstay of treatment. This article describes a case of central nervous system (CNS) toxicity of radiation with a progressive improvement in the clinicoradiological picture following high dose steroid treatment. A female patient was admitted to the neurology department of our hospital 7 months after a course of radiotherapy in another centre for lingual epidermoid cancer. Neurological examination revealed a heavy spastic quadriplegia syndrome. On MRI examination, T2 weighted hyperintensities were observed in cerebral and cerebellar peduncles, periventricular regions and medulla spinalis at Th1-Th2 levels. The patient was treated with high dose methylprednisolone, 1 g day(-1) for 5 days (pulse therapy) followed by oral methylprednisolone 80 mg day(-1) for a week, tapered over 3 weeks. Within the first week of pulse therapy, she regained muscle strength of upper limbs against gravity. At the 2 year follow-up, MRI demonstrated obvious regression of the lesions in the medulla and cerebellum with disappearance of contrast enhancement. This case report is notable with the complete disappearance of MRI lesions at the 2 year follow-up after the treatment with high dose steroid."
498,Included,"Effects of low doses of gamma radiation on DNA synthesis in the developing rat brain Rats of one or ten days of age were irradiated with low doses of gamma radiation, and synthesis of DNA was examined by the incorporation of 3H-thymidine in the cerebellum and the rest of the brain in vivo. DNA synthesis was depressed in both parts of the brain but the effects were larger in cerebellum. A minimum was found about 10 hours after irradiation in the older rats and later (18 h) in the younger ones. The dose response, in 10-day-old rats, was biphasic and showed that cerebellum was more affected. Autoradiographs showed that fewer cells entered the cycle and those synthesizing showed a depressed rate of synthesis. These findings are discussed in relation to induction of cell death."
501,Excluded,"Type 5 phosphodiesterase regulates glioblastoma multiforme aggressiveness and clinical outcome Expression of type 5 phosphodiesterase (PDE5), a cGMP-specific hydrolytic enzyme, is frequently altered in human cancer, but its specific role in tumorigenesis remains controversial. Herein, by analyzing a cohort of 69 patients affected by glioblastoma multiforme (GBM) who underwent chemo- and radiotherapy after surgical resection of the tumor, we found that PDE5 was strongly expressed in cancer cells in about 50% of the patients. Retrospective analysis indicated that high PDE5 expression in GBM cells significantly correlated with longer overall survival of patients. Furthermore, silencing of endogenous PDE5 by short hairpin lentiviral transduction (sh-PDE5) in the T98G GBM cell line induced activation of an invasive phenotype. Similarly, pharmacological inhibition of PDE5 activity strongly enhanced cell motility and invasiveness in T98G cells. This invasive phenotype was accompanied by increased secretion of metallo-proteinase 2 (MMP-2) and activation of protein kinase G (PKG). Moreover, PDE5 silencing markedly enhanced DNA damage repair and cell survival following irradiation. The enhanced radio-resistance of sh-PDE5 GBM cells was mediated by an increase of poly(ADP-ribosyl)ation (PARylation) of cellular proteins and could be counteracted by poly(ADP-ribose) polymerase (PARP) inhibitors. Conversely, PDE5 overexpression in PDE5-negative U87G cells significantly reduced MMP-2 secretion, inhibited their invasive potential and interfered with DNA damage repair and cell survival following irradiation. These studies identify PDE5 as a favorable prognostic marker for GBM, which negatively affects cell invasiveness and survival to ionizing radiation. Moreover, our work highlights the therapeutic potential of targeting PKG and/or PARP activity in this currently incurable subset of brain cancers."
441,Excluded,"Left transsylvian-transinsular approach for radiation-induced cavernous malformation: 3-dimensional operative video De novo cavernous malformation (CM) formation after radiation therapy for brain tumors is well known, but CM formation adjacent to a radiosurgically treated arteriovenous malformation (AVM) is rare.<sup>1</sup> This video demonstrates the microsurgical resection of a de novo CM adjacent to a previously treated high-grade AVM and clipping of a middle cerebral artery (MCA) aneurysm. A 70-yr-old male with history of radiosurgery for AVM presented with aphasia and confusion. Preoperative angiography showed complete occlusion of the AVM. MRI showed multiple cystic lesions suspicious for radiation-induced necrosis and CM. IRB approval and patient consent was obtained. A pterional craniotomy was performed with transsylvian exposure of the insula. The radiated feeding arteries were followed to the occluded AVM nidus. A CM was noted deep to this candelabra of the MCA vessels, which were mobilized to access and resect the CM. A small incision was made in this insular cortex underneath the malformation circumferentially freeing it of adhesions. The sclerotic AVM nidus was circumferentially dissected and removed en bloc. Thorough exploration of the resection cavity revealed no residual CM or AVM nidus. Attention was then turned to the M2-MCA bifurcation aneurysm, which was occluded with a straight clip. Postoperative imaging confirmed complete CM resection. The patient recovered from his aphasia. This case demonstrates the management of a radiation-induced de novo CM following treatment of a high-grade AVM. Radiographic follow-up for radiosurgically treated AVM is needed to rule out long-term complications. Bleeding from a de novo CM mimics bleeding from residual AVM nidus, requiring careful angiographic evaluation. Copyright © 2019 Oxford University Press. All rights reserved."
393,Included,"Neoplasia in fast neutron-irradiated beagles One hundred fifty-one beagle dogs were irradiated with either photons or fast neutrons (15 MeV) to one of three dose-limiting normal tissues--spinal cord, lung, or brain. The radiation was given in four fractions per week for 5 weeks (spinal cord), 6 weeks (lung), or 7 weeks (brain) to total doses encompassing those given clinically for cancer management. To date, no nonirradiated dogs or photon-irradiated dogs have developed any neoplasms. Seven dogs receiving fast neutrons have developed 9 neoplasms within the irradiated field. Of the neutron-irradiated dogs at risk, the incidence of neoplasia was 15%. The latent period for radiation-induced cancers has varied from 1 to 4 1/2 years at this time in the study."
999,Included,"Cellular proliferation and infiltration following interstitial irradiation of normal dog brain is altered by an inhibitor of polyamine synthesis PURPOSE: The objectives of this study were to quantitatively define proliferative and infiltrative cell responses after focal 125I irradiation of normal brain, and to determine the effects of an intravenous infusion of alpha-difluoromethylornithine (DFMO) on those responses.METHODS AND MATERIALS: Adult beagle dogs were irradiated using high activity 125I sources. Saline (control) or DFMO (150 mg/kg/day) was infused for 18 days starting 2 days before irradiation. At varying times up to 8 weeks after irradiation, brain tissues were collected and the cell responses in and around the focal lesion were quantified. Immunohistochemical stains were used to label astrocytes (GFAP), vascular endothelial cells (Factor VIII), polymorphonuclear leukocytes (PMNs; MAC 387) and cells synthesizing deoxyribonucleic acid (DNA) (BrdU). Cellular responses were quantified using a histomorphometric analysis.RESULTS: After radiation alone, cellular events included a substantial acute inflammatory response followed by increased BrdU labeling and progressive increases in numbers of capillaries and astrocytes. alpha-Difluoromethylornithine treatment significantly affected the measured cell responses. As in controls, an early inflammatory response was measured, but after 2 weeks there were more PMNs/unit area than in controls. The onset of measurable BrdU labeling was delayed in DFMO-treated animals, and the magnitude of labeling was significantly reduced. Increases in astrocyte and vessel numbers/mm2 were observed after a 2-week delay. At the site of implant, astrocytes from DFMO-treated dogs were significantly smaller than those from controls.CONCLUSIONS: There is substantial cell proliferation and infiltration in response to interstitial irradiation of normal brain, and these responses are significantly altered by DFMO treatment. Although the precise mechanisms by which DFMO exerts its effects in this model are not known, the results from this study suggest that modification of radiation injury may be possible by manipulating the response of normal cells to injury."
