,titleabstract,decision
7,"Expression of Epstein-Barr virus-encoded BamH1-A rightward transcript 7 microRNA in nasopharyngeal carcinoma cells modulates the responsive to irradiation treatment. Background Nasopharyngeal carcinoma (NPC) is highly sensitive to irradiation treatment. Expression of Epstein-Barr virus gene products will affect the radiosensitivity of the cancer cells. Here, the association between EBV BamH1-A rightward transcript 7 microRNA (ebv-miR-BART7) and the effects on irradiation sensitivity was explored. Methods Tissue ebv-miR-BART7 expression level was quantified using real-time quantitative PCR. The radiosensitivity of nasopharyngeal carcinoma cells with ebv-miR-BART7 expression was evaluated by colony formation assay, cell proliferation assay, apoptosis assay, H2AX phosphorylation staining and acridine orange staining. In addition, xenograft model was developed using zebrafish embryo to validate the in vivo radiation sensitivity of the ebv-miR-BART7-expressing NPC. Results Primary NPC tissues and recurrent NPC tissues had a significant higher ebv-miR-BART7 level in comparison with the corresponding normal counterparts. ebv-miR-BART7-expressing NPC cells had higher sensitivity to irradiation treatment. Conclusion Our results suggested that NPC patients have an elevated ebv-miR-BART expression in the primary NPC and recurrent NPC tissue. High ebv-miR-BART increases the sensitivity of NPC cells to irradiation treatment. Further investigation on the clinical value of ebv-miR-BART7 to the therapeutic response is warranted to evaluate the potential use of ebv-miR-BART7 as molecular biomarker in monitoring NPC patients.",Included
10,Histopathological and roentgenological studies on the effects of irradiation of human adult mandibles in cancer of the oral region,Included
23,Effects of radiation on populations of Drosophila melanogaster with different genetic structures. II. Temporal changes in the sex ratio,Included
26,"Tolerance doses of cutaneous and mucosal tissues in ring-necked parakeets (Psittacula krameri) for external beam megavoltage radiation. Currently used dosages for external-beam megavoltage radiation therapy in birds have been extrapolated from mammalian patients and often appear to provide inadequate doses of radiation for effective tumor control. To determine the tolerance doses of cutaneous and mucosal tissues of normal birds in order to provide more effective radiation treatment for tumors that have been shown to be radiation responsive in other species, ingluvial mucosa and the skin over the ingluvies of 9 ring-necked parakeets (Psittacula krameri) were irradiated in 4-Gy fractions to a total dose of either 48, 60, or 72 Gy using an isocentric cobalt-60 teletherapy unit. Minimal radiation-induced epidermal changes were present in the high-dose group histologically. Neither dose-related acute nor chronic radiation effects could be detected in any group grossly in cutaneous or mucosal tissue over a 9-month period. Radiation doses of 72 Gy in 4-Gy fractions were well tolerated in the small number of ring-necked parakeets in this initial tolerance dose study.",Included
36,"Oxidative stress and low dose ionizing radiation. The field of radiation biochemistry has provided tremendous impact in recent years as extensive research on free radicals has implicated them in radiation damage. An important offshoot of this field is the branch dealing with radiological protection in medical applications like diagnostic radiology. Hence, we decided to investigate the relationship between oxidative stress and low dose ionizing radiation (x-rays) in the work environment of x-ray technicians (radiographers), by comparing their RBC malondialdehyde, % hemolysis, catalase and plasma vitamin E levels with those of controls. There was a significant increase in the susceptibility of RBCs to hemolysis in radiographers compared to controls. Malondialdehyde and catalase levels were slightly increased in the radiographers, but this did not disturb the steady state concentration of their plasma vitamin E. These findings go in favour of theories stating that exposure to low dose ionizing radiation does cause a greater amount of oxidative stress, than that caused during normal routine metabolic processes.",Included
37,"Transcriptional corepressor MTG16 regulates small intestinal crypt proliferation and crypt regeneration after radiation-induced injury. Myeloidtranslocation genes (MTGs) are transcriptional corepressorsimplicated in development, malignancy, differentiation, and stem cellfunction. While MTG16 loss renders mice sensitive to chemicalcolitis, the role of MTG16 in the small intestine is unknown. Histologicalexamination revealed that Mtg16-/- mice have increasedenterocyte proliferation and goblet cell deficiency. After exposure toradiation, Mtg16-/- mice exhibited increased crypt viability anddecreased apoptosis compared with wild-type (WT) mice. Flow cytometricand immunofluorescence analysis of intestinal epithelial cellsfor phospho-histone H2A.X also indicated decreased DNA damageand apoptosis in Mtg16-/- intestines. To determine if Mtg16 deletionaffected epithelial cells in a cell-autonomous fashion, intestinal cryptswere isolated from Mtg16-/- mice. Mtg16-/-and WT intestinalcrypts showed similar enterosphere forming efficiencies when culturedin the presence of EGF, Noggin, and R-spondin. However, whenMtg16-/- crypts were cultured in the presence of Wnt3a, theydemonstrated higher enterosphere forming efficiencies and delayedprogression to mature enteroids. Mtg16-/- intestinal crypts isolatedfrom irradiated mice exhibited increased survival compared with WTintestinal crypts. Interestingly, Mtg16 expression was reduced in astem cell-enriched population at the time of crypt regeneration. Thisis consistent with MTG16 negatively regulating regeneration in vivo.Taken together, our data demonstrate that MTG16 loss promotesradioresistance and impacts intestinal stem cell function, possibly dueto shifting cellular response away from DNA damage-induced apoptosisand towards DNA repair after injury.Copyright © 2015 the American Physiological Society.",Included
38,"Less efficient g2-m checkpoint is associated with an increased risk of lung cancer in African Americans. Cell cycle checkpoints play critical roles in the maintenance of genomic integrity. The inactivation of checkpoint genes by genetic and epigenetic mechanisms is frequent in all cancer types, as a less-efficient cell cycle control can lead to genetic instability and tumorigenesis. In an on-going case-control study consisting of 216 patients with non-small cell lung cancer, 226 population-based controls, and 114 hospital-based controls, we investigated the relationship of gamma-radiation-induced G2-M arrest and lung cancer risk. Peripheral blood lymphocytes were cultured for 90 hours, exposed to 1.0 Gy gamma-radiation, and harvested at 3 hours after gamma-radiation treatment. gamma-Radiation-induced G2-M arrest was measured as the percentage of mitotic cells in untreated cultures minus the percentage of mitotic cells in gamma-radiation-treated cultures from the same subject. The mean percentage of gamma-radiation-induced G2-M arrest was significantly lower in cases than in population controls (1.18 versus 1.44, P < 0.01) and hospital controls (1.18 versus 1.40, P = 0.01). When dichotomized at the 50th percentile value in combined controls (population and hospital controls), a lower level of gamma-radiation-induced G2-M arrest was associated with an increased risk of lung cancer among African Americans after adjusting for baseline mitotic index, age, gender, and pack-years of smoking [adjusted odd ratio (OR), 2.25; 95% confidence interval (95% CI), 0.97-5.20]. A significant trend of an increased risk of lung cancer with a decreased level of G2-M arrest was observed (P(trend) = 0.02) among African Americans, with a lowest-versus-highest quartile adjusted OR of 3.74 (95% CI, 0.98-14.3). This trend was most apparent among African American females (P(trend) < 0.01), with a lowest-versus-highest quartile adjusted OR of 11.75 (95% CI, 1.47-94.04). The results suggest that a less-efficient DNA damage-induced G2-M checkpoint is associated with an increased risk of lung cancer among African Americans. Interestingly, we observed a stronger association of DNA damage-induced G2-M arrest and lung cancer among African Americans when compared with Caucasians. If replicated, these results may provide clues to the exceedingly high lung cancer incidence experienced by African Americans.",Included
41,Tumor metastasis in mice with reduced immune reactivity. II. Studies with a highly antigenic MCA-induced sarcoma in thymectomized and/or sub-lethally irradiated C57BL/6J mice,Included
46,"Polysystemic assessment of the state of sanogenesis in workers employed in nuclear fuel plants. The analysis of functional state of cardiovascular, respiratory, and psychomotor systems. The state of the cardiovascular, respiratory, and psychomotor systems of workers employed in nuclear fuel plant was evaluated using a computer-assisted laboratory complex. It was found that neuroendocrine regulation of the peripheral circulation and muscular activity responsible for fine motions are most vulnerable to industrial hazardous factors.",Included
52,"Expression of activated checkpoint kinase 2 and histone 2AX in exfoliative oral cells after exposure to ionizing radiation. Gamma-H2AX (activated histone 2AX) and pChk2 (activated checkpoint kinase 2), which are DNA damage response molecules, are produced in irradiated cells and may be signature molecules of radiation exposure. We investigated their use as potential biomarkers to identify individuals exposed to ionizing radiation. We collected exfoliated oral epithelial cell samples from 100 healthy individuals undergoing routine dental radiographic examination (2.34 cGy) both before and after the radiograph using a non-invasive technique. The expression levels of pChk2 and gamma-H2AX in oral cells were assessed by immunohistochemical assay. Both biomarkers showed statistically significant increases in levels of expression after the radiation exposure (P < 0.001). This suggests that pChk2 and gamma-H2AX may serve as sensitive indicators of low-dose radiation exposure.",Included
