,titleabstract,decision
3153,"Cataract and latitude For many years, it has been suggested that exposure to sunlight, particularly its ultraviolet component, may be associated with an increased risk of senile cataract. This paper addresses 1) the physical and geographic variables that affect the entry of ultraviolet light in the eye; 2) the epidemiologic evidence that associates cataract with ultraviolet light exposure; and 3) the effectiveness of personal barrier protection (i.e. sunglasses and hats) in reducing ocular exposure to ultraviolet light. The epidemiologic evidence is drawn from studies in Australia, China, Tibet, and the United States. The U.S. evidence consists of data from the Maryland Watermen study and analyses of cataract surgery under the Medicare program which provides health insurance for nearly all Americans age 65 and over (30 million) and pays for 85% of the 1.3 million cataract extractions performed annually in the U.S. Analysis of the Medicard data shown that, after controlling for age, sex, and race, and income of the population and also controlling for supply of ophthalmologists, optometrists, price of surgery and local practice costs, the strongest predictor of cataract surgery likelihood in a Medicare beneficiary is the person's latitude of residence. Latitude correlates directly with the UV-B content of sunlight, because the incident angle of the sun determines the atmospheric penetration of ultraviolet radiation. Data suggest that the probability of cataract surgery in the U.S. increases by 3% for each 1 degree decrease (i.e. more Southerly) in latitude.",Excluded
1902,"Lack of effect of the MR (mutator) factor on the maternal repair system in Drosophila melanogaster Experiments were designed to test whether the functioning of the maternal repair system will be different in females heterozygous for MR (male recombination factor) relative to that in females not carrying the MR. Muller-5 males were irradiated and mated to either MR/ + or Cy/ + females, and the frequencies of sex-linked recessive lethals in mature spermatozoa were determined and compared. The frequencies were similar with both types of female, demonstrating that heterozygosity for MR does not lead to an alteration in the functioning of the maternal repair system.",Excluded
1170,"Does the Gamma Knife dose rate affect outcomes in radiosurgery for trigeminal neuralgia? OBJECT: The object of this study was to determine whether the radiation dose rate affects clinical outcomes in patients who undergo stereotactic Gamma Knife surgery (GKS) to manage typical trigeminal neuralgia (TN)., METHODS: The authors retrospectively studied pain relief in 165 patients with medically intractable TN, who underwent 80-Gy GKS using a single 4-mm collimator between 1994 and 2005. No patient had received prior radiation treatment. The measured relative helmet output factor of the Gamma Knife was 0.8 throughout this interval, and the dose rate varied from 1.21 Gy/minute to 3.74 Gy/minute (median 2.06 Gy/minute). Irradiation time varied from 26.73 to 95.11 minutes. The authors divided patients into a low-dose-rate (LDR) group, in which the dose rate varied from 1.21 to 2.05 Gy/minute, and a high-dose-rate (HDR) group, in which the dose rate varied from 2.06 to 3.74 Gy/minute. Post-GKS, the patients' pain control was determined using the Barrow Neurological Institute (BNI) pain scale. There was no statistically significant difference between groups with respect to history of prior microvascular decompression (p = 0.410) or peripheral neuroablative procedures (p = 0.583). The length of symptoms in patients varied from 3 to 414 months with a median of 84 months (p = 0.698). Median follow-up was 26 months with a maximum of 139 months., RESULTS: Initial pain relief was obtained in 71% of patients in the LDR group and 78% in the HDR group (p = 0.547). Patients who initially obtained improved pain relief (BNI Scores I-IIIa) after GKS maintained pain control for median durations of 52 months (LDR group) and 54 months (HDR group) (p = 0.403). New or increased facial sensory dysfunction was found in 14.5% of patients in the LDR group and in 19.3% of patients in the HDR group (p = 0.479)., CONCLUSIONS: The authors found that the GKS dose rate did not affect pain control or morbidity within the range of 1.21-3.74 Gy/minute. Cobalt 60 source decay did not affect outcomes of GKS for TN pain management, even for dose rates approximating a 2-half-life decay of the isotope.",Excluded
42,"Back-scattered electron imaging and elemental analysis of retrieved bone tissue following sinus augmentation with deproteinized bovine bone or biphasic calcium phosphate OBJECTIVES: To compare resorption of a synthetic biphasic calcium phosphate (BCP) bone-graft substitute with deproteinized bovine bone (DBB) used for human maxillary sinus augmentation., MATERIALS AND METHODS: Eleven patients underwent bilateral maxillary sinus floor augmentation with DBB in one side and a BCP (40%beta-tricalcium phosphate (beta-TCP) and 60% hydroxyapatite) in the contralateral side. Simultaneously, with the augmentation on each side a microimplant was placed vertically from the top of the alveolar crest penetrating the residual bone and the grafting material. Eight months after initial surgery the microimplants were retrieved with a surrounding bone core. The composition of residual graft material and surrounding bone was analysed by scanning electron microscopy and energy dispersive X-ray spectroscopy., RESULTS: Residual graft material of both types was present as 10-500 mum particles in direct contact with, or completely surrounded by, newly formed bone; smaller particles were also present in non-mineralized tissue. In the case of BCP the bone-graft substitute interface showed evidence of superficial disintegration of particles into individual grains. Median Ca/P ratios (at.%), determined from >200 discreet sites within residual graft particles and adjacent bone, were: DBB: 1.61 (confidence interval [CI] 1.59-1.64); BCP: 1.5 (CI 1.45-1.52); DBB-augmented bone: 1.62 (CI 1.59-1.66); BCP-augmented bone: 1.52 (CI 1.47-1.55); P=0.028 for DBB vs. BCP and DBB- vs. BCP-augmented bone. The reduction in Ca/P ratio for BCP over the healing period is consistent with the dissolution of beta-TCP and reprecipitation on the surface of calcium-deficient hydroxyapatite., CONCLUSION: The beta-TCP component of BCP may be gradually substituted by calcium-deficient hydroxyapatite over the healing period. This process and superficial degranulation of BCP particles may influence the progress of resorption and healing.",Excluded
1454,EPIDEMIOLOGICAL STUDIES OF CEREBROVASCULAR DISEASE OF THE POPULATION EVACUATED FROM THE 306KM ZONE OF THE ChNPP AT THE AGE OF 18-60 YEARS. ANALYSIS OF THE INFLUENCE OF INTERNAL IONIZING RADIATION ON THE THYROID GLAND 131I,Included
1083,"Antibiotic protocol for the prevention of osteoradionecrosis following dental extractions in irradiated head and neck cancer patients: A 10 years prospective study Aims of Study: The aim of the study was to establish the long term efficacy of a perioperative antibiotic protocol combined with antibacterial mouthwashes in preventing osteoradionecrosis (ORN). Material(s) and Method(s): Irradiated head and neck cancer patients reporting for dental extractions were prospectively enrolled to the study between January 2002 and December 2009. Selection criteria for the patients included the presence of nonrestorable tooth/teeth in the field of radiation, latency period of 6 months since completion of radiotherapy, radiation dosages >60 Gy, and availability for follow-up. Starting from 10 days preextraction, the patients were prescribed 8th hourly oral amoxicillin 500 mg along with 12th hourly mouthwashes using 10 ml of undiluted chlorhexidine gluconate 0.2% solution. The same prescription was continued for 7 days postextraction. All patients were followed-up at regular intervals until December 2013. Result(s): A total of 89 patients (55 male and 34 female) underwent extractions of teeth which were present in the radiation field. Mean age of the patients was 41.8 years (range 36-54 years) and extractions were done between 12 and 33 months (mean - 15 months) postradiation therapy. Altogether, 232 teeth were extracted (maxilla - 78/mandible - 154) at an average of 2.6 teeth per patients. After a mean follow-up period of 63 months (range 48-123 months) there were no reported cases of ORN. Conclusion(s): Based on the results of this study, perioperative oral antibiotics in combination with antibacterial mouthwashes are effective in preventing ORN following dental extractions in irradiated patients.",Excluded
2208,"Gamma knife radiosurgery for trigeminal neuralgia: Results and potentially predictive parameters - Part I: Idiopathic trigeminal neuralgia OBJECTIVE: Gamma knife radiosurgery (GKR) is an increasingly used, minimally invasive treatment option for patients with trigeminal neuralgia (TN) refractory to medical therapy. This retrospective study evaluates the long-term results and side effects of GKR in the treatment of TN focusing on potentially predictive factors. METHOD(S): One hundred sixty patients with TN were included in this study (minimum follow-up, >6 mo; mean, 37.4 mo; range, 6-144 mo). In 92 patients, GKR represented the first nonmedical option (""primary GKR""). In 68 patients, invasive treatments had been previously attempted. All patients were treated using a single 4-mm collimator shot targeting the pontine trigeminal root entry zone with a maximal dose of 75 to 95 Gy. Brainstem dose exposure never exceeded 15 Gy. Treatment outcome results were classified as Grade I (pain-free with no pharmacological treatment), Grade II (pain-free with pharmacological treatment), and Grade III (no result). Data were analyzed using the log-rank test for univariate analysis and the ordered logit model for multivariate analysis. RESULT(S): In the overall series, 98 (61%) out of 160 patients reached a Grade I outcome, 45 (29%) reached a Grade II outcome, and 17 (10%) patients had no results from GKR. These results were encouraging for patients with typical facial pain features and for patients treated by a ""primary"" gamma knife. Considering the global outcome, the most effective and safest dose was found to be in the 80 to 90 Gy range. CONCLUSION(S): According to our experience, GKR represents a reliable second-line therapeutic approach for TN after pharmacological failure. Favorable prognostic factors include ""primary GKR"" and maximal GKR dose ranging between 80 and 90 Gy. Copyright © by the Congress of Neurological Surgeons.",Excluded
1710,"Towards improved prognostic scores predicting survival in patients with brain metastases: A pilot study of serum lactate dehydrogenase levels Accurate prognostic information is desirable when counselling patients with brain metastases regarding their therapeutic options and life expectancy. Based on previous studies, we selected serum lactate dehydrogenase (LDH) as a promising factor on which we perform a pilot study investigating methodological aspects of biomarker studies in patients with brain metastases, before embarking on large-scale studies that will look at a larger number of candidate markers in an expanded patient cohort. For this retrospective analysis, 100 patients with available information on LDH treated with palliative whole-brain radiotherapy were selected. A comprehensive evaluation of different LDH-based variables was performed in uni- and multivariate tests. Probably, the most intriguing finding was that LDH kinetics might be more important, or at least complement, information obtained from a single measurement immediately before radiotherapy. LDH and performance status outperformed several other variables that are part of prognostic models such as recursive partitioning analyses classes and graded prognostic assessment score. LDH kinetics might reflect disease behaviour in extracranial metastatic and primary sites without need for comprehensive imaging studies and is a quite inexpensive diagnostic test. Based on these encouraging results, confirmatory studies in a larger cohort of patients are warranted. Copyright 2012 Carsten Nieder et al.",Excluded
3288,"Emotional determinants of life-space through GPS and ecological momentary assessment in schizophrenia: What gets people out of the house? Background: Previous research employing global positioning satellite (GPS) data and ecological momentary assessment (EMA) has shown a smaller life-space (distance traveled from home) was associated with poorer community functioning and more severe negative symptoms in people with schizophrenia. Momentary emotional experiences may influence how much time is spent outside of the home. We evaluated the associations between emotional experiences in relation to life-space among people with schizophrenia compared to healthy controls (HCs). Method(s): 105 participants with schizophrenia and 76 HCs completed in-lab assessments of symptoms, cognition, and functioning. Participants completed EMA assessments of location and emotions seven times daily for seven days at stratified random intervals. GPS coordinates were collected 24 h a day over the 7-day study period. Analyses were performed at the momentary, day, and full week level using mixed effects models and Spearman correlations. Result(s): For HCs, greater happiness was associated with greater concurrent distance traveled away from home as measured by GPS. For participants with schizophrenia, greater anxiety was associated with greater distance traveled away from home and being outside of the home. Less happiness, but not anxiety, was also associated with greater negative symptoms, especially outside the home. Discussion(s): These findings suggest diminished positive emotion is associated with the experience of leaving the home in schizophrenia, but also suggest that anxiety may contribute to avoidance of out of home mobility. Interventions targeting both positive emotions and social anxiety may improve social functioning, and life-space may provide a useful outcome for functional rehabilitation interventions in schizophrenia.Copyright © 2020",Excluded
183,"Ultrastructural and elemental analysis of sialoliths and their comparison with nephroliths AIM: Sialoliths are common in the submandibular gland and its duct system, although their exact cause of formation is still a matter of debate. The aims of this study were to: (a) analyze sialoliths ultrastructurally, and to determine the role of foreign bodies or organic materials in the formation of sialolith nuclei; and (b) compare nephroliths with sialoliths ultrastructurally., METHODS: Three sialoliths and two nephroliths were analyzed ultrastructurally by a scanning electron microscope and X-ray diffractometer., RESULTS: The main structures of the sialoliths were found to be hydroxyapatite crystals. No organic cores were observed in the central parts of the sialoliths. In nephroliths, calcium oxalate, calcium phosphate, and struvite crystals were found. The energy-dispersive X-ray microanalysis found that sialoliths and nephroliths were predominantly composed of elements comprising calcium, phosphorous, magnesium, sodium, chloride, silicon, iron, and potassium., CONCLUSION: Sialoliths in the submandibular salivary glands might form secondary to sialadenitis, but not via a luminal organic nidus.Copyright © 2014 Wiley Publishing Asia Pty Ltd.",Excluded
