,titleabstract,decision
14,"Melatonin reduces oxidative stress in the rat lens due to radiation-induced oxidative injury. PURPOSE: The aim of this study was to evaluate the antioxidant role of melatonin against radiation-induced cataract in the rat lens after total cranial irradiation with a single 5 Gray (Gy) dose of gamma irradiation.MATERIALS AND METHODS: Twenty-eight Sprague-Dawley rats were used for the experiment. The rats were randomly divided into four equal groups. The control group did not receive melatonin or irradiation but received both 0.1 ml physiological saline intraperitoneally and sham irradiation. The irradiation (IR) group received 5 Gy gamma irradiation to the total cranium as a single dose plus 0.1 ml physiological saline intraperitoneally. The melatonin plus IR group received irradiation to the total cranium plus 5 mg/kg/day melatonin intraperitoneally. The melatonin group received only 5 mg/kg/day melatonin plus sham-irradiation. Biochemical parameters measured in murine lenses were carried out using spectrophotometric techniques.RESULTS: Lens antioxidant capacity, as measured by levels of total superoxide scavenger activity (TSSA), non-enzymatic superoxide scavenger activity (NSSA) and glutathione reductase (GRD) activity, significantly increased in melatonin, control and melatonin plus IR groups when compared with the IR group. Lens glutathione-S-transferase (GST) activity significantly increased in control and melatonin groups when compared with the IR group. Lens malondialdehyde (MDA) levels significantly increased in the IR group when compared with control, melatonin and melatonin plus IR groups. Lens TSSA and NSSA activities significantly decreased in control and melatonin plus IR groups when compared with the melatonin group. Lens GST activity significantly increased in the control group when compared with melatonin plus IR group. Lens GRD activity significantly increased in melatonin and melatonin plus IR groups when compared with control group.CONCLUSIONS: Melatonin reduces oxidative stress markers and augments anti-oxidant capacity in the rat lens.",Included
16,"Cognitive functioning in breast cancer survivors: a controlled comparison. BACKGROUND: The current study was performed to determine whether neuropsychologic functioning differs in breast cancer survivors 6 months after the completion of adjuvant treatment compared with women without cancer.METHODS: Participants were 187 women who were diagnosed with ductal carcinoma in situ or stage I or stage II breast cancer and 187 age-matched and geographically matched women without cancer. Of the survivors, 97 had been treated after surgery with chemotherapy only or chemotherapy plus radiotherapy and 90 had been treated after surgery with radiotherapy only (grading determined according to the American Joint Committee on Cancer grading system).RESULTS: Small but statistically significant differences in cognitive functioning and cognitive impairment were observed in those survivors who were treated with chemotherapy and their matched controls, as well as in survivors treated with radiotherapy only and their matched controls. No group differences were observed with regard to cognitive symptoms.CONCLUSIONS: Data from the current study suggest that cognitive deficits are subtle and likely the result of the general effects of cancer diagnosis and treatment rather than systemic treatment.",Included
21,[Radioisotope implantation of the pituitary gland in metastasized cancer of the breast],Included
28,[Cytochemical study of proteins and RNA in individual spinal cord motor neurons and intervertebral ganglion neurons of rats following space flight]. By the methods of quantitative cytochemistry the content of RNA cytoplasmatic protein was measured in motoneurons of anterior horns of the spinal cord and neurons of spinal ganglia of rats after their 22-day space flight. The exposure did not alter the content of RNA in motoneurons of the anterior horns of the spinal cord and reduced the value in large neurons of spinal ganglia. The flight diminished significantly the protein content in the cytoplasm of motoneurons and neurons of spinal ganglia as compared with the preflight level. On the 27th postflight day the RNA content in motoneurons of the anterior horns of the spinal cord increased and that in neurons of spinal ganglia did not differ from the preflight level. On the 27th postflight day the protein content in the cytoplasm of motoneurons returned to the preflight level and remained decreased in the cytoplasms of large neurons of spinal ganglia.,Included
32,[Mechanism of early modification of leukocyte count following lethal dose of roentgen rays. II. Effect of anesthesia and of mercaptoethylamine; neurohumoral regulation of white blood picture],Included
50,"Radiation-induced bystander effects in vivo are epigenetically regulated in a tissue-specific manner. Exposure of animal body parts to ionizing radiation (IR) can lead to molecular changes in distant shielded ""bystander"" tissues and organs. Nevertheless, tissue specificity of bystander responses within the same organism has not been examined in detail. Studies on in vivo bystander effect conducted so far analyzed changes induced by single-dose exposure. The potential of fractionated irradiation to induce bystander effects in vivo has never been studied. We analyzed changes in global DNA methylation and microRNAome in skin and spleen of animals subjected to single-dose (acute or fractionated) whole-body or cranial exposure to 0.5 Gy of X-rays. We found that IR-induced DNA methylation changes in bystander spleen and skin were distinct. Acute radiation exposure resulted in a significant loss of global DNA methylation in the exposed and bystander spleen 6 hr, 96 hr, and 14 days after irradiation. Fractionated irradiation led to hypomethylation in bystander spleen 6 hr after whole-body exposure, and 6 hr, 96 hr, and 14 days after cranial irradiation. Contrarily, changes in the skin of the same animals were seen only 6 hr after acute whole-body and head exposure. DNA hypomethylation observed in spleen was paralleled by a reduction of methyl-binding protein MeCP2 expression. Irradiation also induced tissue-specific microRNAome alterations in skin and spleen. For the first time, we have shown that IR-induced epigenetic bystander effects that occur in the same organism are triggered by both acute and fractionated exposure and are very distinct in different bystander organs. Future studies are clearly needed to address organismal and carcinogenic repercussions of those changes.",Included
54,Lithium protects mouse hippocampus from ionizing radiation,Included
61,Changes in the averaged evoked potentials of the rabbit during and after fractionated x-irradiation,Included
77,"Chronic administration of the angiotensin-converting enzyme inhibitor, ramipril, prevents fractionated whole-brain irradiation-induced perirhinal cortex-dependent cognitive impairment. We hypothesized that chronic administration of the angiotensin-converting enzyme inhibitor, ramipril, to young adult male rats would prevent/ameliorate fractionated whole-brain irradiation-induced perirhinal cortex-dependent cognitive impairment. Eighty 12-14-week-old young adult male Fischer 344 rats received either: (1) sham irradiation, (2) 40 Gy of fractionated whole-brain irradiation delivered as two 5 Gy fractions/week for 4 weeks, (3) sham irradiation plus continuous administration of 15 mg/L of ramipril in the drinking water starting 3 days before irradiation, or (4) fractionated whole-brain irradiation plus ramipril. Cognitive function was assessed using a perirhinal cortex-dependent version of the novel object recognition task 26 weeks after irradiation. Microglial activation was determined in the perirhinal cortex and the dentate gyrus of the hippocampus 28 weeks after irradiation using the ED1 antibody. Neurogenesis was assessed in the granular cell layer and subgranular zones of the dentate gyrus using a doublecortin antibody. Fractionated whole-brain irradiation led to: (1) a significant impairment in perirhinal cortex-dependent cognitive function, (2) a significant increase in activated microglia in the dentate gyrus but not in the perirhinal cortex, and (3) a significant decrease in neurogenesis. Continuous administration of ramipril before, during, and after irradiation prevented the fractionated whole-brain irradiation-induced changes in perirhinal cortex-dependent cognitive function, as well as in microglial activation in the dentate gyrus. Thus, as hypothesized, continuous administration of the angiotensin-converting enzyme inhibitor, ramipril, can prevent the fractionated whole-brain irradiation-induced impairment in perirhinal cortex-dependent cognitive function.",Included
86,"Effects of 14 days of spaceflight and nine days of recovery on cell body size and succinate dehydrogenase activity of rat dorsal root ganglion neurons. The cross-sectional areas and succinate dehydrogenase activities of L5 dorsal root ganglion neurons in rats were determined after 14 days of spaceflight and after nine days of recovery. The mean and distribution of the cross-sectional areas were similar to age-matched, ground-based controls for both the spaceflight and for the spaceflight plus recovery groups. The mean succinate dehydrogenase activity was significantly lower in spaceflight compared to aged-matched control rats, whereas the mean succinate dehydrogenase activity was similar in age-matched control and spaceflight plus recovery rats. The mean succinate dehydrogenase activity of neurons with cross-sectional areas between 1000 and 2000 microns2 was lower (between 7 and 10%) in both the spaceflight and the spaceflight plus recovery groups compared to the appropriate control groups. The reduction in the oxidative capacity of a subpopulation of sensory neurons having relatively large cross-sectional areas immediately following spaceflight and the sustained depression for nine days after returning to 1 g suggest that the 0 g environment induced significant alterations in proprioceptive function.",Included
