Unnamed: 0,titleabstract,decision,prediction
2394,"Prospective assessment of gustatory function after radiotherapy for head and neck cancers BACKGROUND: Taste disorders are major causes of morbidity in patients undergoing head and neck irradiation. We quantitatively assessed the gustatory function of patients with head and neck cancers who underwent radiotherapy using recently developed standardised tools for measuring taste.METHODS: Twenty patients undergoing head and neck irradiation responded to a specific questionnaire and were assessed by olfactory and gustatory function tests. To assess changes over time, testing was performed before, immediately after, and at 2- and 4-week intervals following the start of radiotherapy. Concurrently, patients were evaluated for xerostomia from radiotherapy.RESULTS: A decrease in the taste recognition threshold was observed in the second week after the beginning of radiotherapy. The taste detection threshold improved within the 14th-18th week. Most affected patients demonstrated that their gustatory function primarily decreased independent of the olfactory function. Disturbances in taste were exponentially worsened beyond an accumulated dose of 30 Gy and involved all tastants. According to a multivariate analysis, radiation-induced taste impairment was not influenced by the degree of xerostomia. However, there was an association between the dose of irradiation and the severity of taste disturbance.CONCLUSIONS: In this preliminary study, we found that the taste function was worse 2 weeks after the start of radiotherapy and returned to pretreatment levels within 4.5 months. Taste disturbances were exponentially worse beyond an accumulated dose of 20 Gy. Taste dysfunction after radiotherapy was not influenced by the degree of xerostomia, whereas only the dose of irradiation was associated with the severity of taste dysfunction.",Excluded,0.055259798
2395,"Effect of continuous versus multiple intermittent light exposures on rat retina The damaging effects of continuous light exposure to the albino rat retina have been well documented. However, the cumulative effects of multiple light exposures are not well defined. We therefore compared the retinal injury induced by a single 24 hour light exposure with that caused by three intermittent exposures of 8 hours each. Eight dark-adapted albino Lewis rats were exposed for 24 hours to green fluorescent light (490-580 nm) at an illuminance level of 175 foot-candles. A second group of 8 rats was exposed under similar conditions in three split doses of 8 hours each at intervals of 7 days between each exposure. Recovery was allowed in total darkness, and the animals were sacrificed 2 weeks following the last exposure. Retinal damage was assessed by morphometry and light and electron microscopy. Mild cumulative retinal injury, mostly in photoreceptor cells with relative sparing of the retinal pigment epithelium, was seen in the split dose group, while extensive damage involving photoreceptor cells and retinal pigment epithelium was noted in the group exposed continuously for 24 hours.",Excluded,0.04885986
2396,"Age, Sex, and Repeated Measures Effects on NASA's ""Cognition"" Test Battery in STEM Educated Adults <b>BACKGROUND:</b> Cognition is a neurocognitive test battery created at the University of Pennsylvania and adapted by the National Aeronautics and Space Administration (NASA). It comprises 10 neurocognitive tests that examine multiple domains, and has been validated in a normative sample of STEM-educated adults and compared to NASA's WinSCAT battery. <b>METHODS:</b> The purpose of this study was to follow the original sample to assess Cognition and WinSCAT's test-retest reliability and age, sex, and test-retest interval effects on performance. <b>RESULTS:</b> Performance on both Cognition and WinSCAT decreased with age but improved with repeated administration due to practice effects, and men had higher scores than women on tasks that required vigilant attention, spatial reasoning, and risk-taking behaviors. Assessment of test-retest reliability showed intraclass coefficients for efficiency ranging from 0.417 to 0.810, reflecting the broad nature of constructs assessed by Cognition. <b>DISCUSSION:</b> Results largely matched predictions, with some counter-intuitive results for test-retest reliability interval. <b>Lee G, Moore TM, Basner M, Nasrini J, Roalf DR, Ruparel K, Port AM, Dinges DF, Gur RC. Age, sex, and repeated measures effects on NASA's ""Cognition"" Test Battery in STEM educated adults. Aerosp Med Hum Perform. 2020; 91(1):18-25.</b>",Excluded,0.04832407
2397,"Machine Friendly Machine Learning: Interpretation of Computed Tomography Without Image Reconstruction Recent advancements in deep learning for automated image processing and classification have accelerated many new applications for medical image analysis. However, most deep learning algorithms have been developed using reconstructed, human-interpretable medical images. While image reconstruction from raw sensor data is required for the creation of medical images, the reconstruction process only uses a partial representation of all the data acquired. Here, we report the development of a system to directly process raw computed tomography (CT) data in sinogram-space, bypassing the intermediary step of image reconstruction. Two classification tasks were evaluated for their feasibility of sinogram-space machine learning: body region identification and intracranial hemorrhage (ICH) detection. Our proposed SinoNet, a convolutional neural network optimized for interpreting sinograms, performed favorably compared to conventional reconstructed image-space-based systems for both tasks, regardless of scanning geometries in terms of projections or detectors. Further, SinoNet performed significantly better when using sparsely sampled sinograms than conventional networks operating in image-space. As a result, sinogram-space algorithms could be used in field settings for triage (presence of ICH), especially where low radiation dose is desired. These findings also demonstrate another strength of deep learning where it can analyze and interpret sinograms that are virtually impossible for human experts.",Excluded,0.04794469
2398,"Enhanced cellular radiation sensitivity of androgen-independent human prostate tumor cells by onconase The RNase-like onconase, isolated from amphibian oocytes, showed increases in median tumor pO2 in solid tumors (1). This led us to consider if onconase could decrease cellular O2 consumption (QO2) on 9L rat glioma as well as DU145 human prostate adenocarcinoma cells. Using a Clark-type electrode chamber, we observed that onconase significantly inhibited QO2 in both tumors we tested. Since onconase-induced reduction in QO2 could lead to increases in radiation sensitivity, due to the diffusion of O2 to previously hypoxic tumor cells, we used androgen-insensitive DU145 cells to study onconase-induced changes in radiation sensitivity in vitro. Radiation sensitization was achieved with > 5 micrograms/ml of onconase, regardless of the p53 status of tumor cells. Data presented here suggested that onconase-induced enhancement in radiation sensitization in vitro of androgen-insensitive prostate cancer cells warranted further studies of radiation responses in vivo, prior to clinical settings for the advanced-stages of prostate cancer.",Excluded,0.048155196
2399,"Quantitative imaging of cerebral blood flow velocity and intracellular motility using dynamic light scattering-optical coherence tomography This paper describes a novel optical method for label-free quantitative imaging of cerebral blood flow (CBF) and intracellular motility (IM) in the rodent cerebral cortex. This method is based on a technique that integrates dynamic light scattering (DLS) and optical coherence tomography (OCT), named DLS-OCT. The technique measures both the axial and transverse velocities of CBF, whereas conventional Doppler OCT measures only the axial one. In addition, the technique produces a three-dimensional map of the diffusion coefficient quantifying nontranslational motions. In the DLS-OCT diffusion map, we observed high-diffusion spots, whose locations highly correspond to neuronal cell bodies and whose diffusion coefficient agreed with that of the motion of intracellular organelles reported in vitro in the literature. Therefore, the present method has enabled, for the first time to our knowledge, label-free imaging of the diffusion-like motion of intracellular organelles in vivo. As an example application, we used the method to monitor CBF and IM during a brief ischemic stroke, where we observed an induced persistent reduction in IM despite the recovery of CBF after stroke. This result supports that the IM measured in this study represent the cellular energy metabolism-related active motion of intracellular organelles rather than free diffusion of intracellular macromolecules.",Excluded,0.04787461
2400,"Casticin inhibits growth and enhances ionizing radiation-induced apoptosis through the suppression of STAT3 signaling cascade Casticin (CTC), one of the major components of Vitex rotundifolia L., has been reported to exert significant beneficial pharmacological activities and can function as an antiprolactin, anticancer, anti-inflammatory, neuroprotective, analgesic, and immunomodulatory agent. This study aimed at investigating whether the proapoptotic effects of CTC may be mediated through the abrogation of signal transducers and activators of transcription-3 (STAT3) signaling pathway in a variety of human tumor cells. We found that CTC significantly decreased cell viability in a concentration-dependent manner and suppressed cell proliferation in 786-O, YD-8, and HN-9 cells. CTC also induced programmed cell death that was found to be mediated via caspase-3 activation and induction of poly(ADP-ribose) polymerase cleavage. Interestingly, CTC repressed both constitutive and interleukin-6-induced STAT3 activation in 786-O and YD-8 cells but only affected constitutive STAT3 phosphorylation in HN-9 cells. Moreover, CTC could potentiate ionizing radiation-induced apoptotic effects leading to the downregulation of STAT3 activation and thus may be used in combination with radiation against diverse malignancies.",Excluded,0.049426544
2401,"Antiangiogenic agent, thalidomide increases the antitumor effect of single high dose irradiation (gamma knife radiosurgery) in the rat orthotopic glioma model Gliomas are primary brain tumors associated with a poor prognosis partly due to resistance to conventional therapies. To overcome this problem, we investigated the combined effects of gamma knife radiosurgery (GKS) and an antiangiogenic agent, thalidomide (THD), or a chemotherapeutic agent, temozolomide (TMZ), on a rat glioma model. GKS (20 Gy single dose) alone and/or drugs (for 3 days) were delivered 14 or 18 days after stereotactic implantation of C6/LacZ glioma cells into the brains of Sprague-Dawley rats. A group of animals treated with or without drugs for 3 days was irradiated on day 18 and sacrificed at 24 h after GKS to evaluate cell proliferation, apoptosis and microvessel density. The other group of animals was irradiated on day 14 and sacrificed at day 5 after GKS for the measurement of tumor volume. Apoptosis of endothelial cells in the tumor beds was only observed in the early period after GKS. Decreased cell proliferation and increased tumor cell apoptosis were observed in rat gliomas treated with GKS and THD or TMZ. The combination treatments with GKS and THD or GKS and TMZ also decreased microvessel density, i.e. angiogenesis, more effectively compared with GKS treatment alone. The combination of GKS and THD was the most effective regimen, resulting in a significant decrease of tumor volume. We suggest that the antitumor effect of GKS on glioma is enhanced by the addition of THD. Therefore, combined therapy with GKS and THD might be a favorable treatment for gliomas.",Excluded,0.5214487
2402,"Neurotoxicity in long-term survivors of small cell lung cancer Chronic central nervous system neurotoxicity was studied in 38 long-term survivors (greater than or equal to 3 years) of small cell lung cancer who were treated at the University of Texas M. D. Anderson Hospital and Tumor Institute at Houston between 1971 and 1980. All but one patient received combination chemotherapy with or without chest irradiation. Twenty-four patients received whole brain irradiation (Group I), 22 for ""elective"" and two for therapeutic purposes, while 14 did not (Group II). Abnormalities in computed tomographic (CT) scans of the brain were more frequently observed in Group I than in Group II (70% vs. 0%, p less than 0.01). Clinical central nervous system neurotoxicity developed in three patients in Group I, while none developed in patients in Group II (p less than 0.05). Patients who received methotrexate and procarbazine after whole brain irradiation were at a higher risk for clinical central nervous system neurotoxicity (p less than 0.05), and for development of periventricular white matter changes in CT brain scans (p less than 0.05) than were patients in Group II. Impaired methylation of the myelin sheath is proposed as a possible underlying pathogenic mechanism.",Excluded,0.42886773
2403,"The role played by SLUG, an epithelialmesenchymal transition factor, in invasion and therapeutic resistance of malignant glioma Purpose: In malignant gliomas, invasive phenotype and cancer stemness promoting resurgence of residual tumor cells, render treatment very difficult. Hence, identification of epithelial-mesenchymal transition (EMT) factors associated with invasion and stemness of glioma cells is critical. Method(s): To address the issue, we investigated several EMT factors in hypermotile U87MG and U251 cells, mouse xenograft model, and human glioma samples. Of several EMT markers, SLUG expression was notably increased at the invasive fronts of gliomas, both in mouse tumor xenografts and human glioma samples. The biological role played by SLUG was investigated using a colony-forming assay after chemotherapy and irradiation, and by employing a neurosphere culture assay. The effect of SLUG on glioma progression was examined in our patient cohort and samples, and compared to large public data from the REMBRANDT and TCGA. Result(s): Genetic upregulation of SLUG was associated with increased levels of stemness factors and enhanced resistance to radiation and temozolomide. In our cohort, patients exhibiting lower-level SLUG expression evidenced longer progression-free survival (P=0.042). Also, in the REMBRANDT dataset, a group in which SLUG was downregulated exhibited a significant survival benefit (P<0.001). Although paired gliblastoma multiforme (GBM) samples from our patients did not showed significant increase of SLUG expression, increased mRNA levels of SLUG was found in recurred GBM from TCGA (P=0.052), and in TMZ-treated glioma cells and mouse xenograft. Conclusion(s): SLUG may contribute to glioma progression by controlling invasion at infiltrating margins, associated with increased stemness and therapeutic resistance.",Excluded,0.0487836
