,titleabstract,decision
1794,"Sparing of cochleae and eyes in whole brain radiation therapy with boost by helical tomotherapy and noncoplanar VMAT Purpose/Objective: Simple low conformity lateral opposing radiation beams with limited sparing to proximal organs-atrisk (OARs) were widely adopted in the past for treating palliative whole brain radiation therapy (WBRT). Crucial OARs located at skull base used to sacrifice with significant radiation dose inevitably. More conformal radiation treatments, like helical tomotherapy (HT) and volumetric modulated arc therapy (VMAT), are becoming more accepted to treat WBRT. These techniques allow not only conformal dose to the whole brain but also simultaneous integrated boost (SIB) doses to dedicated metastases for superior disease control and symptom relief. This study aimed to investigate any potential advantages in cochleae and eyes sparing between HT and non-coplanar VMAT. Material(s) and Method(s): Treatment planning computed tomography (CT) scans of 15 brain metastasis patients who had received palliative dose WBRTs with SIBs to the metastases in the department were recruited. Each patient was re-planned with HT and non-coplanar VMAT for dosimetric comparison. Departmental routine optimal settings with fan beam thickness of 2.5cm and pitch value of 0.287 were used in all HT plans. One coplanar full arc plus two non-coplanar half arcs modulating by Varian Millennium 120 MLCs were used in all VMAT plans. The two non-coplanar half arcs were arranged at 60 degrees offset to each other and to the coplanar full arc to cover the cranial hemisphere. All target volumes were optimized according to original prescriptions. The median whole brain dose was 30Gy (range 25-40Gy) and the median SIB dose was 35Gy (range 30-45Gy). The mean SIB volume was 26.7+/-30.4cc consisting 1.7+/-1.8% of the whole brain volume 1481.8+/-161.1cc. Radiation doses to cochleae and eyes were studied by comparing their maximum doses (Dmax) and mean doses (Dmean). The dose results from the two techniques were tested statistically by paired t-test considering significant level of p-value <0.05. Result(s): The dose results are listed in Table 1. Non-coplanar VMAT significantly achieved lower Dmax and Dmean to both cochleae than HT (all p<0.001). Radiation doses to both eyes were slightly higher in non-coplanar VMAT than in HT but could not be shown statistically significant (all p>0.05). However, the Dmax and Dmean to both lens were significantly higher in non-coplanar VMAT than in HT (p<0.01 and p<0.001, respectively). Conclusion(s): Non-coplanar VMAT is superior to HT in sparing cochleae which are relatively small and highly proximal to target volumes. There is no significant dose difference in eyes sparing for both techniques. Non-coplanar VMAT is preferred to treat WBRT with SIB if slight increase in lens doses is not a concern. (Table Presented).",Excluded
1335,"The dysbacteriosis of extreme states. [Russian] The study was aimed at investigation of the characteristic features of intestinal dysbacteriosis in man under extreme conditions and development of methods for correcting intestinal microflora for prevention of dysbacteriosis under such conditions. Microbiocenosis of the intestine was investigated in 99 practically healthy persons under model earth conditions and in 34 cosmonauts after space flights of various duration. The following factors influencing intestinal microflora in man under extreme conditions were studied: neuroemotional tension, hypokinesia, increased physical loads, isolation under conditions of altered gaseous environment and microclimate. The study revealed that the above factors participated in development of dysbacteriosis. It was shown that the neuroemotional stress played the main role in development of dysbacteriosis in man under extreme conditions: intestinal microflora responded under extreme conditions by decreased counts of bifidobacteria and lactobacilli participating in maintenance of the intact ecological barrier and colonization resistance. For preventing dysbacteriotic reactions of intestinal microflora it was recommended to use bifidobacterin tablets. Bifidobacterin correction was shown to be efficient in prevention of dysbacteriosis in persons under extreme conditions.",Excluded
1299,"Short-term hazards of low-dose radioiodine ablation therapy in postsurgical thyroid cancer patients During the last two decades, there has been a trend to use low-dose I-131 ablation therapy in patients with thyroid carcinoma without metastases. However, information regarding the incidence of acute adverse reactions in patients after low-dose radioiodine therapy has not been reported. In this study, the acute radiation effects after low-dose radioiodine ablation therapy in postsurgical differentiated thyroid cancer patients was evaluated. Fifty-six patients with differentiated thyroid cancer were prospectively evaluated. None of these patients had evidence of a distant metastasis. All patients received 40 mCi (1480 MBq) I-131 MIBG orally and were evaluated for symptoms and signs by a physician on the second and seventh days after therapy. Xerostomia and nausea were the most common complaints with the same incidence rate of 5.35%. Gastralgia occurred at a frequency of 3.57%. Pain in the thyroid bed, tenderness over a parotid gland, submandibular glands, change in taste, and vomiting all were found at a frequency of 1.78%. Maximum reactions generally occurred 24-48 hours after therapy. All the symptoms except for xerostomia resolved completely in most patients within a week. In comparison with high-dose ablation therapy published in the literature, the incidence of radiation reactions in low-dose radioiodine therapy was much lower. It was concluded that in patients without lymph node or distant metastases, low-dose I-131 MIBG therapy may be recommended to avoid the high incidence of local complications after high-dose treatment.",Excluded
2984,"Thymoquinone reduces oxidative and nitrosative stress in tongue-tissue of rats exposed to total cranial irradiation Introduction: Head and neck cancer patients treated with radiotherapy suffer severe side-effects during and following their treatment. Efforts to decrease toxicity of irradiation to normal tissue, organs and cells have led to a search for cytoprotective agent. Investigations for effective and non-toxic compounds with radioprotective capability led to increasing interest in antioxidant such as thymoquinone (TQ). Objective(s): The aim of this study was to evaluate the radioprotective effects of TQ on oxidant/antioxidant systems in the tongue-tissue of rats exposed to total cranial irradiation. Material(s) and Method(s): Thirty-two rats were divided into four groups to test the radioprotective effectiveness of TQ administered by either orogastric tube or intraperitoneal injection. Appropriate control groups were also studied. Result(s): Tongue glutathione peroxidase (GSH-Px), glutathione-S-transferase (GST), total superoxide scavenger activity (TSSA), non-enzymatic superoxide scavenger activity (NSSA), and superoxide dismutase (SOD) activities in the control and sham control groups were significantly increased when compared to the irradiation (IR) group and IR plus TQ groups. Nitric oxide (NO*), peroxynitrite (ONOO-) and malondialdehyde (MDA) levels, xantine oxidase (XO) and nitric oxide synthase (NOS) activities significantly increased in the IR group when compared to the control and sham control groups. Conclusion(s): Results show that TQ has the radioprotective, antioxidant effects and free radical scavenging activity. Therapy with antioxidants may lead to the increase in the antioxidant defense system and thus, may decrease the clinical symptoms in radiation therapy.",Included
2082,"Combined endoscopic endonasal surgery and fractionated stereotactic radiosurgery (fSRS) for complex cranial base tumors-early clinical outcomes Endoscopic endonasal surgery (EES) has been shown to be a feasible approach to cranial base tumors while reducing post-operative morbidity. Using the endoscopic endonasal approach alone or in combination with open approaches may provide advantages over conventional approaches. However, the balance between maximal resection and minimal injury to neurovascular structures frequently precludes gross total resection (GTR). Consequently, adjuvant radiation therapy may be an important option to improve local control (LC) of residual disease. In this retrospective series, we report clinical outcomes, morbidity, and LC of 40 patients with cranial base tumors treated with EES +/- combined open approach followed by fSRS (CyberKnife, Accuray Inc.). 26 patients had benign disease, 7 had newly diagnosed malignant disease, and 7 had previously resected malignant disease. Surgical outcomes were evaluable in all patients. LC after fSRS was evaluable in 39 patients and defined as no evidence of regrowth by MRI, CT, & physical examination. GTR was achieved in 12/40. Median post-operative length of stay (LOS) was 3 days. In multivariable analysis controlling for anatomic location and malignant histology, post-operative complications (n = 10) were significantly associated with patients having combined open and EES (p < 0.01, OR = 16.9). SRS was delivered in 1-5 sessions to a median marginal dose of 24.9 Gy. Median follow-up was 24.7 months (range, 1.5 to 61 months). LC was achieved in 89.7% (35/39) of evaluable patients. LC was achieved in 11/12 patients who had GTR. Median progression-free survival was 19.7 months (21.0 months for benign tumors (n = 26), 5.8 months for previously resected malignant disease (n = 7), and 21.2 months for newly diagnosed malignant disease (n = 7). Of the 31 patients who had symptomatic disease at presentation, 18 (58%) reported complete symptom resolution, 9 partial, and 4 no improvement. One patient who received two prior courses of radiation therapy developed osteosclerosis (grade III). Other adverse events were erythema (grade I, n = 5), nausea (grade II, n = 2), conjunctivitis (grade II, n = 1). EES followed by fSRS is a safe and effective management strategy for selected cranial base tumors. EES combined with an open surgical approach may result in increased complications. However, initial follow-up offers encouraging results indicating shorter time to recovery, acceptable LC rates compared to conventional approaches, and similar median time to progression for benign and newly diagnosed malignant disease.",Excluded
195,"Stereotactic navigation for TAMIS-TME: opening the gateway to frameless, image-guided abdominal and pelvic surgery Background: Frameless stereotaxy is an established method for real-time image-guided surgical navigation in neurological surgery. Though this is capable of providing sub-millimeter accuracy, it has not been used by other surgical specialists. Methods and procedure: A patient with locally advanced, distal rectal cancer and tumor abutting the prostate was selected for transanal TME using TAMIS, with intra-operative CT-guided navigation to ensure an R0 resection. Result(s): The use of stereotactic TAMIS-TME was successfully performed with an accuracy of +/-4 mm. The surgical specimen revealed an R0 resection, and this new approach aided in achieving adequate resection margins. Conclusion(s): This is the first report of the use of frameless stereotactic navigation beyond the scope of neurosurgery. Stereotactic navigation for transanal total mesorectal excision is shown to be feasible. Stereotactic navigation may potentially be applied toward other pelvic and fixed abdominal organs, thereby opening the gateway for a broader use by the general surgeon. Copyright © 2014, Springer Science+Business Media New York.",Excluded
2232,"Neutrophil recruitment and leukocyte response following focused ultrasound and microbubble mediated blood-brain barrier treatments <b>Rationale:</b> Delivery of therapeutic agents to the brain is limited by the presence of the blood-brain barrier (BBB). An emerging strategy to temporarily and locally increase the permeability of the BBB is the use of transcranial focused ultrasound (FUS) and systematically injected microbubbles (MBs). FUS+MB BBB treatments cause an acute inflammatory response, marked by a transient upregulation of pro-inflammatory genes; however, the cellular immune response remains unknown.",Excluded
483,"Low (20 cGy) doses of 1 GeV/u <sup>56</sup>Fe-particle radiation lead to a persistent reduction in the spatial learning ability of rats Exposure to galactic cosmic radiation (GCR) is considered to be a potential health risk in long-term space travel, and it represents a significant risk to the central nervous system (CNS). The most harmful component of GCR is the HZE [high-mass, highly charged (Z), high-energy] particles, e.g. <sup>56</sup>Fe. In previous ground-based experiments, exposure to high doses of HZE-particle radiation induced pronounced deficits in hippocampus-dependent learning and memory in rodents. Recent data suggest that glutamatergic transmission in hippocampal synaptosomes is impaired after low (60 cGy) doses of 1 GeV/u <sup>56</sup>Fe particles, which could lead to impairment of hippocampus-dependent spatial memory. To assess the effects of mission-relevant (2060 cGy) doses of 1 GeV/u <sup>56</sup>Fe particles on hippocampus-dependent spatial memory, male Wistar rats either received sham treatment or were irradiated and tested 3 months later in the Barnes maze test. Compared to the controls, rats that received 20, 40 and 60 cGy 1 GeV/u <sup>56</sup>Fe particles showed significant impairments in their ability to locate the escape box in the Barnes maze, which was manifested by progressively increasing escape latency times over the 3 days of testing. However, this increase was not due to a lack of motivation of the rats to escape, because the total number of head pokes (and especially incorrect head pokes) remained constant over the test period. Given that rats exposed to X rays did not exhibit spatial memory impairments until >10 Gy was delivered, the RBE for 1 GeV/u <sup>56</sup>Fe-particle-induced hippocampal spatial memory impairment is ~50. These data demonstrate that mission-relevant doses of 1 GeV/u <sup>56</sup>Fe particles can result in severe deficits in hippocampus-dependent neurocognitive tasks, and the extreme sensitivity of these processes to 1 GeV/u <sup>56</sup>Fe particles must arise due to the perturbation of multiple processes in addition to killing neuronal cells. © 2012 by Radiation Research Society. All rights of reproduction in any form reserved.",Included
336,"Melatonin receptor density in Area X of European starlings is correlated with reproductive state and is unaffected by plasma melatonin concentration Several of the song control nuclei of songbirds, including HVc (higher vocal center) and Area X, contain melatonin receptor (MelR). In laboratory-housed male starlings, the densities of MelR in Area X change markedly according to reproductive state. MelR are down-regulated when starlings are photostimulated (in full breeding condition) and are subsequently up-regulated when starlings become photorefractory (reproductively quiescent). However, seasonal regulation of MelR densities in Area X has only been investigated during the light phase of the light:dark cycle. Variation in MelR densities are physiologically relevant only if they also occur during the dark phase, when melatonin is present in the circulation. Brains from male starlings that were in different reproductive states but exposed to the same 18L:6D photoperiod were collected during either the mid-point of the light phase or the dark phase. Melatonin receptor distribution was assessed in vitro by 125Iodomelatonin (IMEL) receptor autoradiography. All photostimulated birds exhibited down-regulation of MelR in Area X, and all photorefractory birds exhibited high MelR density in Area X, regardless of time of sampling or plasma melatonin concentration. Thus, within each reproductive state, MelR density in Area X did not differ over the course of a circadian cycle. The functional significance of seasonal regulation of MelR in this song control nucleus remains unclear, but it is likely to involve a release of cellular inhibition by melatonin during photostimulation, with possible consequences for song learning, memory consolidation or regulation of the context of song production.",Excluded
1080,"Carbamylated erythropoietin reduces radiosurgically-induced brain injury Gamma knife radiosurgery is an attractive noninvasive treatment of brain tumors and vascular malformations that minimizes collateral tissue damage. However, exposure of normal tissue to even low-dose radiation triggers a cascade of acute and chronic injury and potentially significant morbidity and mortality. Because many irradiated patients now survive for years, identifying methods to prevent radiotherapy-induced collateral tissue damage is a major focus of current research. Erythropoietin (EPO), a cytokine produced locally by many tissues in response to injury, antagonizes apoptosis, reduces inflammation, and promotes healing. Systemic administration of recombinant EPO, widely used for treatment of anemia, provides robust protection from numerous insults in a variety of tissues, including the brain. Although irradiation injury is likely sensitive to EPO, the hematopoietic activity of EPO is undesirable in this setting, increasing erythrocyte number and predisposing to thrombosis. To avoid these potential adverse effects, we developed carbamylated EPO (CEPO) which does not stimulate the bone marrow. In this study, we show that CEPO (50 microg kg(-1) intraperitoneally) improves functional outcome when administered to adult rats just before, and then once daily for 10 d after, a necrotizing dose of radiation (100 Gy) to the right striatum. Immediately following irradiation, use and reflex movements of the contralateral forelimb to vibrissae stimulation were abnormal but rapidly improved in animals receiving CEPO. Moreover, histological examination revealed that the extent of brain necrosis after 90 days was reduced by approximately 50%. These findings further extend the kinds of injury for which administration of a tissue-protective cytokine provides benefit.",Excluded
