,titleabstract,decision
7,"Opposite effects of WR-2721 and WR-1065 on radiation-induced hypothermia: possible correlation with oxygen uptake. Ionizing radiation induces hypothermia in guinea pigs. While systemic injection of the radioprotectant S-2-(3-aminopropylamino)ethylphosphorothioic acid (WR-2721) did not block hyperthermia induced by exposure to 10 Gy of gamma radiation, central administration did attenuate it. The dephosphorylated metabolite of WR-2721, N-(2-mercaptoethyl)-1,3-diaminopropane (WR-1065), accentuated radiation-induced hypothermia by both routes of administration. In brain homogenates, oxygen uptake was inhibited by WR-2721 but elevated by WR-1065. These results suggest that the antagonism of radiation-induced hypothermia found only after central administration of WR-2721 is due to its direct actions and not to its dephosphorylated metabolite and that this effect may be correlated with the inhibition by WR-2721 of oxygen uptake.",Included
14,"Radiation dose response of normal brain. Dose response relationships were determined after hemibrain x-irradiation of normal beagle dogs. Radiation doses of 11.5, 13.5, 14.3, and 17 Gy were delivered in a single dose and results were compared to previous studies using doses of 15 and 30 Gy. Brain injury was quantified using computed tomography (CT), with serial studies obtained monthly up to 1 year following irradiation. Quantitative endpoints included low density volume and contrast enhancement. Doses above 14.3 Gy resulted in high lethality 5-8 months following irradiation, and an LD50 of 14.9 Gy was calculated. At these lethal doses, low density volume representing edema, demyelination, and necrosis had a similar response with an ED50 of 14.6 Gy. Radiation-induced decreases in white matter density appeared 5-6 months after sublethal doses (less than or equal to 14.3 Gy) and the volume of tissue characterized by this low density increased with time and dose. This sublethal low density change had an ED50 of 12.8 Gy, and may reflect a loss or generalized atrophy of glial cells and/or myelin. These results show that: (a) the dose response curves obtained after hemibrain x-irradiation are extremely steep; and (b) at least two processes may be involved in the development of late radiation damage, one that is rapid upon onset (a ""delayed acute"" reaction) and the other which is a slower and more degenerative process.",Included
28,"[The effect of a superhigh dose of ionizing radiation on the content of catecholamine mediators in different areas of the rat brain]. In experiments with rats, it was shown that whole-body irradiation of animals with a dose of 500 Gy causes a decrease in the catecholamine mediator content of the truncus cerebri during the first minutes following irradiation. A possible mechanism of the changes observed is discussed.",Included
43,"Chronic Low Dose Neutron Exposure Results in Altered Neurotransmission Properties of the Hippocampus-Prefrontal Cortex Axis in Both Mice and Rats. The proposed deep space exploration to the moon and later to Mars will result in astronauts receiving significant chronic exposures to space radiation (SR). SR exposure results in multiple neurocognitive impairments. Recently, our cross-species (mouse/rat) studies reported impaired associative memory formation in both species following a chronic 6-month low dose exposure to a mixed field of neutrons (1 mGy/day for a total dose pf 18 cGy). In the present study, we report neutron exposure induced synaptic plasticity in the medial prefrontal cortex, accompanied by microglial activation and significant synaptic loss in the hippocampus. In a parallel study, neutron exposure was also found to alter fluorescence assisted single synaptosome LTP (FASS-LTP) in the hippocampus of rats, that may be related to a reduced ability to insert AMPAR into the post-synaptic membrane, which may arise from increased phosphorylation of the serine 845 residue of the GluA1 subunit. Thus, we demonstrate for the first time, that low dose chronic neutron irradiation impacts homeostatic synaptic plasticity in the hippocampal-cortical circuit in two rodent species, and that the ability to successfully encode associative recognition memory is a dynamic, multicircuit process, possibly involving compensatory changes in AMPAR density on the synaptic surface.",Included
49,Jumping at a chance to control cerebral blood flow in astronauts,Included
55,[Dynamics of the morpho-quantitative changes in the central and intermediate regions of the visual analyzer during whole body x-irradiation]. Morpho-quantitative estimation of changes in IV and V layers of visual cortex and outer geniculate bodies of the brain of guinea pigs subjected to whole-body X-irradiation with a median lethal doses shows that neurons from the visual analyzer sections under study are differently damaged. The morphogenesis of changes is connected with the original variations in the quantitative structure of a neuron-glial complex and a selective alterative and productive reaction of the perivascular glia.,Included
61,"Mitochondrial Degeneration and Autophagy Associated With Delayed Effects of Radiation in the Mouse Brain. Mitochondria are linked with various radiation responses, including mitophagy, genomic instability, apoptosis, and the bystander effect. Mitochondria play an important role in preserving cellular homeostasis during stress responses, and dysfunction in mitochondrial contributes to aging, carcinogenesis and neurologic diseases. In this study, we have investigated the mitochondrial degeneration and autophagy in the hippocampal region of brains from mice administered with BBT-059, a long-acting interleukin-11 analog, or its formulation buffer 24 h prior to irradiation at different radiation doses collected at 6 and 12 months post-irradiation. The results demonstrated a higher number of degenerating mitochondria in 12 Gy BBT-059 treated mice after 6 months and 11.5 Gy BBT-059 treated mice after 12 months as compared to the age-matched naive (non-irradiated control animals). Apg5l, Lc3b and Sqstm1 markers were used to analyze the autophagy in the brain, however only the Sqstm1 marker exhibited significantly reduced expression after 12 months in 11.5 Gy BBT-059 treated mice as compared to naive. Immunohistochemistry (IHC) results of Bcl2 also demonstrated a decrease in expression after 12 months in 11.5 Gy BBT-059 treated mice as compared to other groups. In conclusion, our results demonstrated that higher doses of ionizing radiation (IR) can cause persistent upregulation of mitochondrial degeneration. Reduced levels of Sqstm1 and Bcl2 can lead to intensive autophagy which can lead to degradation of cellular structure.",Included
70,"Risk neurogenes for long-term spaceflight: dopamine and serotonin brain system. Mice were exposed to 1 month of spaceflight on Russian biosatellite BION-M1 to determine its effect on the expression of key genes in the brain dopamine (DA) and serotonin (5-HT) systems. Spaceflight decreased the expression of crucial genes involved in DA synthesis and degradation, as well as the D1 receptor. However, spaceflight failed to alter the expression of tryptophan hydroxylase-2, 5-HT transporter, 5-HT1A, and 5-HT3 receptor genes, though it reduced 5-HT2A receptor gene expression in the hypothalamus. We revealed risk DA and 5-HT neurogenes for long-term spaceflight for the first time, as well as microgravity-responsive genes (tyrosine hydroxylase, catechol-O-methyltransferase, and D1 receptor in the nigrostriatal system; D1 and 5-HT2A receptors in the hypothalamus; and monoamine oxidase A (MAO A) in the frontal cortex). Decreased genetic control of the DA system may contribute to the spaceflight-induced locomotor impairment and dyskinesia described for both humans and rats.",Included
72,"Irradiation inactivation studies of the dopamine D1 receptor and dopamine-stimulated adenylate cyclase in rat striatum. In frozen rat striatal tissue, exposed to 10 MeV electrons from a linear accelerator, the sizes of the dopamine (DA) D1 receptor and the DA-sensitive adenylate cyclase complex were determined using target size analysis. The number of D1 receptors (labelled by [3H]SCH 23390) declined monoexponentially with increasing radiation intensity, yielding a molecular weight (mol.wt.) of 80 kDa. Also the activity of the catalytic unit (C) of the adenylate cyclase (as measured by forskolin stimulation), decreased monoexponentially, however with a mol.wt. of 145 kDa. Both basal, DA- and fluoride (F-)-stimulated activity declined in a concave-downward fashion with a limiting mol.wt. of 134, 138 and 228 kDa, respectively. It was estimated that the basal and DA-stimulated activity originated from an enzyme complex with a mol.wt. of 325 kDa, a value close to the combined size of RGs and C. These data suggest that F- stimulation of the adenylate cyclase, which occurs by a Gs activation, does not cause dissociation of Gs into the alpha s and beta gamma subunits. Further, the DA-regulated adenylate cyclase apparently exists as a complex consisting of RGs and C; the mechanism of hormonal activation is a dissociation of C from this complex.",Included
79,"Contrasting the effects of proton irradiation on dendritic complexity of subiculum neurons in wild type and MCAT mice. Growing evidence suggests that radiation-induced oxidative stress directly affects a wide range of biological changes with an overall negative impact on CNS function. In the past we have demonstrated that transgenic mice over-expressing human catalase targeted to the mitochondria (MCAT) exhibit a range of neuroprotective phenotypes following irradiation that include improved neurogenesis, dendritic complexity, and cognition. To determine the extent of the neuroprotective phenotype afforded by MCAT expression in different hippocampal regions, we analyzed subiculum neurons for changes in neuronal structure and synaptic integrity after exposure to low dose (0.5 Gy) 150 MeV proton irradiation. One month following irradiation of WT and MCAT mice, a range of morphometric parameters were quantified along Golgi-Cox impregnated neurons. Compared with WT mice, subiculum neurons from MCAT mice exhibited increased trends (albeit not statistically significant) toward increased dendritic complexity in both control and irradiated cohorts. However, Sholl analysis of MCAT mice revealed significantly increased arborization of the distal dendritic tree, indicating a protective effect on secondary and tertiary branching. Interestingly, radiation-induced increases in postsynaptic density protein (PSD-95) puncta were not as pronounced in MCAT compared with WT mice, and were significantly lower after the 0.5 Gy dose. As past data has linked radiation exposure to reduced dendritic complexity, elevated PSD-95 and impaired cognition, reductions in mitochondrial oxidative stress have proven useful in ameliorating many of these radiation-induced sequelae. Data presented here shows similar trends, and again points to the potential benefits of reducing oxidative stress in the brain to attenuate radiation injury. Environ. Mol. Mutagen. 57:364-371, 2016. © 2016 Wiley Periodicals, Inc.",Included
